LICENSE_NUMBER,LICENSE_TYPE,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE
17 292111 00 1J,Eating Establishment,Restaurant,10004197 CANADA CORPORATION O/A PIZZA PIZZA,1281 MAIN ST E  HAMILTON ON,27/04/2018
17 292766 00 1J,Eating Establishment,Restaurant,10009059 Canada Inc. o/a ALMAS MULTICUISINE,25 MAIN ST W  HAMILTON ON L4V 1H5,26/10/2018
14 280368 03 1J,Eating Establishment,Restaurant Take-Out,1002547 ONTARIO LTD. O/A SUBWAY SANDWICHES & SALADS,1275 BARTON ST E BLDG  L HAMILTON ON L8H 2V4,18/10/2018
17 292431 00 1J,Eating Establishment,Restaurant Take-Out,10066770 CANADA INC O/A SUBWAY,75 CENTENNIAL PKWY N  HAMILTON ON L8E 2P2,04/07/2018
17 292400 00 1J,Eating Establishment,Restaurant with Liquor Service,10217131 Canada Inc. o/a FOX AND FIDDLE,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,28/07/2018
17 292488 00 1J,Eating Establishment,Restaurant,10224740 Canada Ltd. o/a MR. SUB,963 RYMAL RD E  HAMILTON ON L8W 3M2,19/06/2018
17 292662 00 1J,Eating Establishment,Restaurant,10243779 CANADA INC O/A CHERRY BIRCH GENERAL,219 KING ST E  HAMILTON ON,16/11/2018
15 181563 03 1J,Eating Establishment,Restaurant,1038641 ONTARIO LTD  O/A THE WINCHESTER ARMS ,120 KING ST W  DUNDAS ON,21/06/2018
13 282709 03 1J,Eating Establishment,Restaurant,1059181 ONTARIO INC. O/A TIM HORTONS,2651 REGIONAL ROAD 56  GLANBROOK ON,07/05/2018
15 125002 03 1J,Eating Establishment,Restaurant with Liquor Service,1071637 ONTARIO INC. O/A MAC RONI'S ITALIAN EATERY & BAR LTD.,1560 MAIN ST W  HAMILTON ON L8S 1E7,20/08/2018
15 287795 02 1J,Eating Establishment,Restaurant Take-Out,1087234 ONTARIO INC O/A SOUTH GARDEN RESTAURANT,1300 GARTH ST  HAMILTON ON L9C 4L7,21/09/2018
15 221456 02 1J,Eating Establishment,Restaurant,1087355 ONTARIO INC  O/A THE PURPLE PEAR,946 BARTON ST E  HAMILTON ON,18/03/2018
14 164276 03 1J,Eating Establishment,Restaurant Take-Out,1112821 ONTARIO LIMITED O/A MIKE SUBS,90 WELLINGTON ST N  HAMILTON ON,27/07/2018
15 125072 03 1J,Eating Establishment,Restaurant,1112916 Ontario Inc. o/a MAPLE LEAF PANCAKE HOUSE,1520 MAIN ST W  HAMILTON ON L8S 1E3,21/05/2018
