index,geo_code,gender,0_4_years,10_14_years,15_19_years,20_24_years,25_29_years,30_34_years,35_39_years,40_44_years,45_49_years,50_54_years,55_59_years,60_64_years,65_69_years,70_74_years,75_79_years,80_84_years,85_89_years,90_94_years,95_99_years,100_years
0,35240317,female,25,15,20,20,20,30,25,25,25,40,40,35,30,25,20,15,10,5,0,0
1,35240317,male,20,20,20,20,20,30,25,15,20,35,20,25,35,20,20,15,5,0,0,0
2,35240318,female,20,30,35,40,15,25,20,35,35,35,45,30,20,20,15,10,0,0,0,0
3,35240318,male,15,35,30,30,15,15,20,20,25,25,40,30,20,15,10,5,0,0,0,0
4,35240319,female,5,30,15,15,10,5,10,15,20,25,20,20,10,5,5,0,0,0,0,0
5,35240319,male,10,20,20,25,15,10,10,15,20,20,25,15,15,10,5,0,0,0,0,0
6,35240320,female,10,5,5,10,35,40,40,20,10,25,20,25,20,20,15,5,10,0,0,0
7,35240320,male,10,10,5,10,25,25,20,25,20,15,20,15,10,0,5,10,0,0,0,0
8,35240321,female,10,20,30,35,20,10,15,25,35,45,35,40,20,15,10,5,5,0,0,0
9,35240321,male,15,30,35,30,15,15,20,25,25,35,30,25,25,15,10,5,0,0,0,0
10,35240322,female,10,10,15,25,5,5,15,15,5,30,20,25,15,15,5,0,0,0,0,0
11,35240322,male,10,15,10,30,15,5,10,20,10,25,20,20,20,20,10,5,0,5,0,0
12,35240323,female,10,15,15,20,10,5,10,15,15,25,35,30,10,10,5,5,5,0,0,0
13,35240323,male,10,15,15,25,15,0,10,20,10,15,30,35,20,5,5,5,5,0,0,0
14,35240324,female,25,20,30,20,30,25,25,25,35,30,40,30,20,10,10,0,0,0,0,0
15,35240324,male,15,25,25,35,25,25,20,25,35,30,25,20,20,10,5,5,0,0,0,0
16,35240325,female,20,10,10,10,10,10,20,15,15,20,20,20,30,15,10,5,0,0,0,0
17,35240325,male,15,15,15,10,10,15,15,20,15,15,20,15,25,15,5,5,0,0,0,0
18,35240326,female,10,15,10,20,15,10,15,15,15,35,20,15,15,15,5,0,5,5,0,0
19,35240326,male,10,20,15,15,15,10,10,20,10,25,15,15,20,10,10,5,5,0,0,0
20,35240327,female,5,10,15,15,20,10,10,15,20,25,20,15,10,10,15,0,0,0,0,0
21,35240327,male,10,10,15,15,20,15,10,20,20,15,15,20,10,10,10,5,0,0,0,0
22,35240328,female,15,10,10,5,10,10,25,15,10,15,20,15,20,15,15,10,10,5,0,0
23,35240328,male,10,15,15,15,5,15,10,25,10,20,25,5,15,15,20,10,5,0,0,0
24,35240329,female,20,25,20,15,15,20,25,20,30,15,25,20,15,15,10,5,0,0,0,0
25,35240329,male,5,15,30,25,10,25,15,25,15,20,25,15,15,5,10,10,5,0,0,0
26,35240330,female,25,25,25,10,25,25,25,35,20,20,15,15,20,5,5,5,5,0,0,0
27,35240330,male,15,20,20,10,15,20,15,20,15,20,15,10,15,5,5,5,5,0,0,0
28,35240331,female,30,25,15,20,40,60,50,35,25,30,20,20,15,15,10,10,5,0,0,0
29,35240331,male,30,30,20,25,40,45,40,30,25,30,35,15,15,5,5,5,5,0,0,0
30,35240332,female,15,5,10,10,25,25,10,10,20,15,20,10,10,10,5,10,10,5,0,0
31,35240332,male,15,15,10,20,15,15,15,15,25,25,20,10,10,10,5,5,0,5,0,0
32,35240333,female,5,10,10,10,10,15,5,10,15,15,20,5,15,15,5,5,10,5,0,0
33,35240333,male,10,10,10,5,10,10,10,5,15,15,15,15,10,5,10,5,5,0,0,0
