,geo_code,Couples with Children,Couples with 1 Child,Couples with 2 Chidren,Couples with 3 Chidlren
0,35240317,110,45,50,50
1,35240318,75,50,55,55
2,35240319,40,25,60,60
3,35240320,75,20,10,10
4,35240321,65,50,55,55
5,35240322,55,25,50,50
6,35240323,55,35,35,35
7,35240324,55,45,50,50
8,35240325,60,30,35,35
9,35240326,65,35,30,30
10,35240327,60,35,30,30
11,35240328,70,20,30,30
12,35240329,50,40,40,40
13,35240330,45,30,40,40
14,35240331,85,50,45,45
15,35240332,55,30,20,20
16,35240333,50,20,20,20
17,35240334,70,25,20,20
18,35240335,45,20,20,20
19,35240336,40,30,35,35
20,35240337,40,25,40,40
21,35240338,65,40,25,25
22,35240339,230,50,40,40
23,35240340,55,35,20,20
24,35240341,85,45,40,40
25,35240342,115,40,35,35
26,35240343,55,20,15,15
27,35240344,40,15,40,40
28,35240345,50,30,30,30
29,35240346,65,40,40,40
30,35240347,45,30,35,35
31,35240348,40,35,45,45
32,35240349,55,40,40,40
33,35240350,80,60,60,60
34,35240351,40,40,50,50
35,35240352,30,25,20,20
36,35240353,50,25,45,45
37,35240354,25,20,20,20
38,35240355,30,20,35,35
39,35240356,30,25,60,60
40,35240357,30,25,40,40
41,35240358,75,40,65,65
42,35240359,35,35,55,55
43,35240363,55,50,50,50
44,35240364,45,25,45,45
45,35240365,40,30,45,45
46,35240366,65,40,45,45
47,35240367,55,35,55,55
48,35240368,70,40,40,40
49,35240369,80,30,40,40
50,35240370,65,40,35,35
51,35240371,65,15,25,25
52,35240372,60,30,20,20
53,35240373,40,15,20,20
54,35240374,45,35,30,30
55,35240375,50,40,50,50
56,35240376,50,30,25,25
57,35240377,35,20,30,30
58,35240378,45,30,50,50
59,35240379,30,15,20,20
60,35240380,35,30,30,30
61,35240381,180,65,105,105
62,35240382,55,30,30,30
63,35240383,65,30,45,45
64,35240384,70,35,35,35
65,35240385,60,25,30,30
66,35240386,30,10,25,25
67,35240387,85,30,30,30
68,35240388,160,40,45,45
69,35240391,65,20,15,15
70,35240392,90,35,25,25
71,35240393,90,30,30,30
72,35240394,75,20,25,25
73,35240395,85,35,25,25
74,35240396,65,20,25,25
75,35240397,590,85,50,50
76,35240398,120,25,20,20
77,35240399,80,30,35,35
78,35240400,160,75,95,95
79,35240401,115,50,35,35
80,35240402,45,35,25,25
81,35240403,50,25,20,20
82,35240404,110,30,40,40
83,35240405,125,40,40,40
84,35240406,40,25,15,15
85,35240409,50,30,30,30
86,35240410,30,15,25,25
87,35240411,80,30,25,25
88,35240412,50,25,20,20
