,geo_code,1960 or before,1961 to 1980,1981 to 1990,1991 to 2000,2001 to 2005,2006 to 2010,2011 to 2016
0,35240317,10,20,175,160,30,0,0
1,35240318,0,10,175,70,0,0,0
2,35240319,0,10,100,35,0,0,0
3,35240320,10,30,95,215,10,0,0
4,35240321,0,15,110,80,35,10,0
5,35240322,0,0,125,0,0,0,0
6,35240323,0,10,140,10,0,0,0
7,35240324,10,250,25,10,0,0,0
8,35240325,10,170,0,0,0,0,0
9,35240326,0,175,0,0,0,0,0
10,35240327,0,170,10,10,0,0,0
11,35240328,15,150,0,35,0,10,0
12,35240329,10,170,15,15,0,0,0
13,35240330,20,170,20,20,0,0,0
14,35240331,45,200,30,10,25,15,70
15,35240332,120,50,15,0,0,10,0
16,35240333,110,45,0,0,0,0,0
17,35240334,155,20,0,0,0,0,0
18,35240335,85,65,0,0,0,0,0
19,35240336,40,125,0,0,0,0,0
20,35240337,95,60,10,0,0,0,0
21,35240338,40,250,20,20,0,0,0
22,35240339,10,265,150,100,155,0,0
23,35240340,15,135,0,0,0,0,0
24,35240341,15,260,35,0,0,0,0
25,35240342,10,200,95,15,10,0,0
26,35240343,0,120,10,0,0,0,0
27,35240344,0,125,10,0,0,0,0
28,35240345,10,185,0,0,0,0,0
29,35240346,10,150,25,0,0,0,0
30,35240347,0,110,40,0,0,0,0
31,35240348,0,110,50,0,0,0,0
32,35240349,0,90,95,20,0,0,0
33,35240350,0,155,90,0,0,0,0
34,35240351,0,50,125,35,10,0,0
35,35240352,10,90,10,0,0,0,0
36,35240353,10,70,120,35,0,0,0
37,35240354,0,10,60,30,0,0,0
38,35240355,0,10,95,15,0,10,0
39,35240356,0,0,105,35,0,0,0
40,35240357,0,10,110,10,0,0,0
41,35240358,0,15,155,55,10,0,0
42,35240359,0,0,40,85,10,10,0
43,35240363,10,15,165,0,0,0,0
44,35240364,0,0,135,10,0,0,0
45,35240365,0,0,100,0,0,0,0
46,35240366,0,30,155,15,10,0,0
47,35240367,0,25,160,0,0,0,0
48,35240368,10,200,0,0,0,0,0
49,35240369,10,200,10,10,20,10,0
50,35240370,0,25,185,15,0,0,0
51,35240371,15,140,0,0,0,0,0
52,35240372,120,50,0,0,0,0,0
53,35240373,125,20,0,0,0,0,0
54,35240374,0,65,85,0,0,0,0
55,35240375,0,170,30,0,10,0,0
56,35240376,0,120,45,0,0,0,0
57,35240377,0,65,70,0,0,0,0
58,35240378,0,85,75,20,0,0,0
59,35240379,0,85,15,0,0,0,0
60,35240380,0,75,45,0,0,0,0
61,35240381,30,380,80,20,0,0,0
62,35240382,0,25,50,75,0,0,0
63,35240383,0,145,20,0,0,0,0
64,35240384,0,115,105,10,0,0,0
65,35240385,0,100,0,35,0,0,0
66,35240386,0,0,60,15,0,0,0
67,35240387,0,150,15,35,0,0,0
68,35240388,45,50,0,205,25,10,0
69,35240391,45,80,0,10,30,15,0
70,35240392,125,60,10,0,10,80,60
71,35240393,170,35,10,10,0,0,10
72,35240394,130,10,10,10,0,0,10
73,35240395,125,35,10,15,0,25,15
74,35240396,30,40,40,10,15,0,0
75,35240397,25,145,35,120,180,330,610
76,35240398,105,200,30,0,10,10,0
77,35240399,135,10,0,30,10,0,10
78,35240400,135,45,65,15,215,25,60
79,35240401,125,55,15,60,80,25,0
80,35240402,105,20,10,0,0,25,10
81,35240403,65,30,0,10,15,0,0
82,35240404,170,40,10,10,10,10,10
83,35240405,210,40,0,10,0,20,50
84,35240406,100,20,0,0,0,0,0
85,35240409,20,150,20,0,10,0,0
86,35240410,25,75,0,10,0,0,0
87,35240411,100,110,10,15,0,0,0
88,35240412,75,50,0,0,0,10,0
89,35240413,45,100,10,0,10,0,0
90,35240414,40,105,0,10,25,0,0
91,35240417,40,115,20,50,15,0,105
92,35240420,145,10,20,20,10,15,10
93,35240421,60,90,30,15,10,0,0
94,35240422,75,100,75,50,25,35,0
95,35240423,35,270,30,0,0,0,0
96,35240425,125,25,0,0,0,15,15
97,35240427,65,185,90,50,70,150,60
98,35240428,125,130,35,10,0,0,0
99,35240429,70,105,25,45,0,0,0
100,35240431,90,30,0,15,0,0,0
101,35240432,95,30,70,25,0,0,10
102,35240433,220,10,0,0,0,0,0
103,35240436,75,55,0,0,0,0,0
104,35240437,110,105,30,0,10,35,0
105,35240438,150,50,15,0,0,0,0
106,35240439,170,25,0,0,0,0,0
107,35240440,110,85,10,35,0,0,0
108,35240441,180,35,15,30,10,0,65
109,35240442,165,25,0,0,0,10,0
110,35240443,205,20,0,0,10,0,15
111,35240444,135,65,10,10,0,0,0
112,35240445,45,185,65,20,0,10,0
113,35240446,70,240,30,10,0,0,10
114,35240447,120,185,0,25,10,0,0
115,35240448,135,50,30,0,0,0,0
116,35240449,25,15,40,15,0,0,10
117,35240450,120,120,10,0,20,0,0
118,35240451,95,80,15,10,0,0,50
119,35240452,35,80,10,0,0,0,0
120,35240453,0,185,0,0,0,0,0
121,35240455,35,365,50,0,0,10,0
122,35240459,0,130,10,0,0,0,0
123,35240460,0,165,0,0,0,0,0
124,35240461,10,85,50,10,0,0,0
125,35240462,0,0,50,135,0,0,0
126,35240463,80,130,0,15,0,10,0
127,35240464,10,60,45,0,0,10,10
128,35240465,75,285,25,65,0,15,0
129,35240466,85,210,15,10,0,0,0
130,35240467,120,120,25,10,0,10,0
131,35240468,135,10,0,0,15,10,0
132,35240469,135,120,0,0,0,0,0
133,35240470,105,25,20,15,10,15,25
134,35240471,50,80,10,0,0,10,15
135,35240472,45,135,10,10,15,10,15
136,35240473,25,140,0,10,0,0,10
137,35240474,15,200,0,10,0,0,0
138,35240475,165,30,10,10,0,0,15
139,35240476,35,130,0,10,10,10,10
140,35240477,60,125,35,0,0,10,10
141,35240478,0,95,20,10,0,0,0
142,35240479,15,150,25,10,0,0,0
143,35240480,30,215,55,55,0,0,0
144,35240481,25,130,0,0,10,10,0
145,35240482,65,195,15,10,20,0,0
146,35240483,10,125,30,45,15,0,0
147,35240484,10,220,0,10,55,85,95
148,35240485,0,135,10,0,0,0,0
149,35240486,10,215,0,0,0,0,0
150,35240487,0,100,0,0,0,0,0
151,35240488,10,90,25,215,110,40,0
152,35240489,10,165,10,0,0,0,0
153,35240490,35,75,0,0,0,0,0
154,35240491,15,165,15,10,0,0,0
155,35240492,10,195,25,10,0,0,0
156,35240493,0,140,215,75,0,0,0
157,35240494,0,165,0,0,0,0,0
158,35240495,30,225,40,10,0,0,0
159,35240496,20,140,0,0,0,0,0
160,35240497,0,55,75,20,0,0,0
161,35240498,0,135,0,0,0,0,0
162,35240499,20,85,0,0,0,0,0
163,35240501,10,85,0,0,0,0,0
164,35240503,15,145,10,0,0,0,0
165,35240504,25,140,0,0,0,0,0
166,35240505,75,110,15,10,0,0,10
167,35240506,25,145,0,0,0,0,0
168,35240507,85,105,0,0,0,0,0
169,35240508,130,80,10,0,25,10,10
170,35240509,85,125,20,15,0,10,0
171,35240512,20,100,15,10,15,20,0
172,35240513,0,125,55,10,0,10,0
173,35240516,60,160,0,0,0,15,0
174,35240517,15,160,0,0,0,0,0
175,35240518,45,215,0,0,0,0,0
176,35240519,30,110,10,0,0,0,0
177,35240520,40,190,15,0,10,0,15
178,35240521,50,145,10,0,10,20,0
179,35240522,35,120,10,0,0,0,0
180,35240523,80,55,10,0,0,0,10
181,35240524,65,70,10,10,10,15,10
182,35240525,80,90,25,0,0,0,0
183,35240526,0,95,0,0,0,0,0
184,35240528,0,110,30,0,0,0,0
