geo_code,,Secondary (high) school diploma or equivalency certificate,"College, CEGEP or other non-university certificate or diploma",University certificate or diploma below bachelor level,Bachelor's degree,"Degree in medicine, dentistry, veterinary medicine or optometry",Master's degree,Earned doctorate
35240317,female,135,120,10,90,0,20,0
35240317,male,80,95,0,70,0,10,0
35240318,female,90,80,0,90,0,10,10
35240318,male,65,75,10,55,0,15,0
35240319,female,40,50,0,45,0,10,0
35240319,male,25,30,0,75,0,15,0
35240320,female,80,110,0,40,0,20,0
35240320,male,60,45,0,45,0,15,0
35240321,female,75,80,0,85,0,20,0
35240321,male,80,70,0,75,0,15,10
35240322,female,75,40,0,50,0,10,0
35240322,male,75,30,0,60,0,10,0
35240323,female,65,70,10,45,0,10,10
35240323,male,105,60,0,45,10,10,0
35240324,female,80,115,0,70,0,10,0
35240324,male,95,80,0,45,0,0,0
35240325,female,75,60,10,50,10,0,0
35240325,male,45,40,0,40,0,10,10
35240326,female,70,70,15,15,0,0,0
35240326,male,70,50,0,25,0,10,0
35240327,female,45,65,10,50,0,0,0
35240327,male,60,35,10,35,0,15,10
35240328,female,95,40,0,20,0,10,0
35240328,male,65,40,0,25,0,10,0
35240329,female,90,90,10,25,0,10,0
35240329,male,85,75,0,40,0,0,0
35240330,female,90,70,0,40,0,10,0
35240330,male,90,45,10,20,0,15,0
35240331,female,100,135,10,65,0,15,0
35240331,male,105,80,0,50,0,15,0
35240332,female,65,50,0,15,0,0,0
35240332,male,80,20,0,10,0,0,0
35240333,female,35,70,0,30,0,10,0
35240333,male,55,20,0,15,0,0,0
35240334,female,65,60,0,15,0,0,0
35240334,male,75,45,0,10,0,0,0
35240335,female,55,40,10,20,0,0,0
35240335,male,45,50,0,20,0,0,0
35240336,female,70,50,10,25,0,0,0
35240336,male,60,20,0,25,0,15,0
35240337,female,60,70,10,15,0,0,0
35240337,male,85,40,0,10,0,15,0
35240338,female,110,70,0,45,0,20,0
35240338,male,120,65,10,35,0,0,0
35240339,female,215,170,15,70,0,20,0
35240339,male,130,90,10,55,0,25,10
35240340,female,50,55,0,35,0,0,0
35240340,male,50,40,0,35,0,0,0
35240341,female,130,115,10,60,0,15,0
35240341,male,100,75,0,45,0,15,0
35240342,female,115,70,10,55,0,10,0
35240342,male,75,65,0,80,0,15,10
35240343,female,25,50,0,30,0,10,0
35240343,male,10,55,0,35,0,0,0
35240344,female,50,40,10,55,0,20,0
35240344,male,35,45,0,50,0,10,0
35240345,female,50,70,10,40,0,0,0
35240345,male,60,70,10,15,0,0,0
35240346,female,65,90,10,50,0,0,0
35240346,male,60,55,10,35,0,15,0
35240347,female,50,55,0,45,0,0,0
35240347,male,35,15,10,50,0,0,10
35240348,female,35,55,10,45,0,10,0
35240348,male,65,65,10,20,0,0,0
35240349,female,60,85,10,45,0,20,0
35240349,male,50,55,10,50,0,0,10
35240350,female,75,105,0,70,0,10,0
35240350,male,125,85,10,45,0,0,0
35240351,female,65,40,10,45,0,30,0
35240351,male,80,40,0,35,0,10,0
35240352,female,35,45,0,30,0,10,0
35240352,male,60,20,0,15,0,0,0
35240353,female,90,90,0,40,0,10,0
35240353,male,85,35,10,30,0,0,0
35240354,female,35,40,10,45,0,10,0
35240354,male,25,25,0,30,0,10,0
35240355,female,55,30,10,30,0,0,0
35240355,male,60,10,0,20,0,15,10
35240356,female,55,50,10,80,0,20,0
35240356,male,25,50,10,60,0,25,0
35240357,female,35,25,0,50,0,15,0
35240357,male,50,50,0,45,0,25,0
35240358,female,50,45,15,100,0,30,0
35240358,male,85,70,10,85,0,25,0
35240359,female,45,70,0,35,0,10,0
35240359,male,60,45,0,60,10,20,0
35240363,female,65,55,0,70,0,15,0
35240363,male,65,50,0,40,0,15,0
35240364,female,50,60,0,55,0,10,0
35240364,male,40,50,0,55,0,0,0
35240365,female,20,25,0,35,0,10,0
35240365,male,45,25,0,50,0,0,0
35240366,female,70,40,10,80,0,15,0
35240366,male,50,45,10,105,0,10,0
35240367,female,55,60,0,65,0,20,0
35240367,male,75,55,0,40,0,20,0
35240368,female,70,75,0,50,0,10,10
35240368,male,70,55,10,30,0,10,10
35240369,female,65,65,15,90,0,10,0
35240369,male,120,70,0,40,0,15,0
35240370,female,80,80,10,55,0,0,0
35240370,male,65,70,0,45,0,0,0
35240371,female,45,45,0,35,0,0,0
35240371,male,40,55,0,15,0,15,0
35240372,female,50,65,10,15,0,0,0
35240372,male,50,50,10,15,0,10,0
35240373,female,45,40,0,20,0,10,0
35240373,male,40,50,0,10,0,0,0
35240374,female,40,40,20,50,10,0,0
35240374,male,45,60,15,30,0,10,0
35240375,female,75,115,0,45,0,0,0
35240375,male,65,70,0,35,0,0,0
35240376,female,65,85,0,20,0,15,0
35240376,male,65,60,0,0,0,0,0
35240377,female,30,45,0,20,10,0,0
35240377,male,40,50,15,20,0,10,0
35240378,female,80,40,10,55,0,15,0
35240378,male,60,35,15,35,0,10,10
35240379,female,25,60,0,10,0,0,0
35240379,male,45,15,0,10,0,0,0
35240380,female,60,40,0,25,0,10,0
35240380,male,60,30,0,15,0,10,0
35240381,female,120,165,10,180,40,70,0
35240381,male,80,75,15,190,20,70,10
35240382,female,30,65,10,35,15,15,0
35240382,male,40,35,0,45,25,15,0
35240383,female,50,60,0,55,0,15,0
35240383,male,55,50,0,50,0,15,0
35240384,female,50,75,10,75,0,10,10
35240384,male,45,50,0,80,10,15,0
35240385,female,40,60,0,50,10,20,10
35240385,male,40,30,0,70,15,15,0
35240386,female,15,25,0,30,0,0,0
35240386,male,25,0,0,45,0,0,10
35240387,female,75,70,10,55,0,15,0
35240387,male,65,35,15,75,0,20,10
35240388,female,130,60,0,95,10,35,0
35240388,male,100,50,10,95,10,15,20
35240391,female,70,65,10,20,0,10,0
35240391,male,50,30,0,10,0,10,0
35240392,female,50,100,0,55,10,0,10
35240392,male,65,90,10,35,0,0,10
35240393,female,55,90,10,70,10,25,10
35240393,male,45,55,10,50,10,20,0
35240394,female,25,25,10,70,0,30,0
35240394,male,40,45,0,55,10,25,10
35240395,female,75,75,0,15,0,25,0
35240395,male,85,55,0,30,10,10,0
35240396,female,40,30,0,55,0,15,0
35240396,male,25,35,10,55,0,10,0
35240397,female,410,340,20,265,20,50,0
35240397,male,300,195,45,200,20,80,0
35240398,female,105,65,20,70,0,10,0
35240398,male,65,45,10,70,0,30,10
35240399,female,50,65,0,50,0,10,0
35240399,male,55,35,0,75,10,10,0
35240400,female,175,170,0,145,10,25,15
35240400,male,115,135,15,110,0,40,10
35240401,female,70,150,10,65,0,30,0
35240401,male,80,100,0,45,10,15,0
35240402,female,25,65,15,25,0,0,0
35240402,male,30,25,0,40,0,10,10
35240403,female,45,45,10,10,0,10,0
35240403,male,25,20,10,30,0,10,0
35240404,female,60,80,0,75,15,15,0
35240404,male,70,35,10,85,10,30,10
35240405,female,80,115,0,60,0,10,0
35240405,male,90,75,10,55,0,20,0
35240406,female,50,60,0,15,0,0,0
35240406,male,30,70,0,0,0,0,0
35240409,female,75,70,10,15,0,10,0
35240409,male,75,45,0,25,0,0,0
35240410,female,45,40,10,25,0,0,10
35240410,male,35,15,0,10,0,0,0
35240411,female,65,90,10,40,0,10,0
35240411,male,85,60,0,35,0,15,0
35240412,female,35,45,0,35,0,0,0
35240412,male,45,35,0,40,0,0,0
35240413,female,70,25,15,45,0,10,0
35240413,male,15,50,10,55,0,10,0
35240414,female,60,50,10,55,0,0,0
35240414,male,55,35,0,40,0,0,0
35240417,female,85,90,10,35,0,20,0
35240417,male,95,30,10,25,10,15,0
35240420,female,55,55,10,25,0,10,0
35240420,male,55,75,0,30,10,15,0
35240421,female,65,40,10,30,0,20,0
35240421,male,45,0,0,45,0,20,10
35240422,female,85,90,10,45,10,15,10
35240422,male,50,65,10,35,10,15,10
35240423,female,120,75,0,40,0,20,0
35240423,male,45,55,10,35,0,0,0
35240425,female,55,20,0,70,0,20,0
35240425,male,20,15,0,45,10,20,10
35240427,female,140,170,0,115,10,35,10
35240427,male,120,75,10,100,15,45,10
35240428,female,80,45,15,30,0,10,0
35240428,male,55,35,10,35,0,0,0
35240429,female,75,80,10,45,10,10,10
35240429,male,45,45,0,25,0,0,0
35240431,female,20,35,0,50,0,10,0
35240431,male,60,25,0,25,0,35,10
35240432,female,65,65,0,35,0,20,0
35240432,male,25,50,10,35,0,10,0
35240433,female,80,40,0,50,0,20,0
35240433,male,60,25,0,65,0,30,0
35240436,female,35,40,0,20,0,10,0
35240436,male,30,35,0,10,0,10,0
35240437,female,55,70,0,50,0,0,0
35240437,male,45,45,0,50,0,15,0
35240438,female,45,80,0,65,0,15,0
35240438,male,75,60,10,30,0,10,0
35240439,female,50,60,0,60,0,10,0
35240439,male,80,65,0,25,0,10,10
35240440,female,65,40,10,20,0,25,0
35240440,male,50,40,0,35,0,10,10
35240441,female,85,85,15,70,10,0,0
35240441,male,75,95,0,70,0,20,10
35240442,female,45,65,0,40,0,25,0
35240442,male,60,30,0,30,0,20,10
35240443,female,95,60,10,100,0,10,0
35240443,male,65,35,0,60,0,20,0
35240444,female,30,50,20,40,0,10,0
35240444,male,45,30,0,40,0,15,0
35240445,female,105,40,10,40,0,20,0
35240445,male,90,60,10,35,0,10,0
