geo_code,,in labour force,not in labour force,employed,unemployed
35240317,female,215,205,210,10
35240317,male,200,125,195,0
35240318,female,215,125,210,10
35240318,male,195,65,180,15
35240319,female,135,25,135,0
35240319,male,145,35,145,0
35240320,female,235,70,220,15
35240320,male,160,25,155,0
35240321,female,225,85,220,10
35240321,male,220,45,220,0
35240322,female,145,55,140,10
35240322,male,160,50,150,15
35240323,female,155,60,140,15
35240323,male,215,40,200,15
35240324,female,260,65,245,10
35240324,male,250,50,235,20
35240325,female,145,85,140,0
35240325,male,155,55,140,10
35240326,female,115,90,105,10
35240326,male,140,60,130,10
35240327,female,115,95,115,0
35240327,male,160,55,155,10
35240328,female,125,100,120,10
35240328,male,125,75,125,10
35240329,female,190,55,175,20
35240329,male,195,50,185,10
35240330,female,175,110,165,10
35240330,male,165,65,150,15
35240331,female,250,130,235,15
35240331,male,265,75,240,30
35240332,female,125,75,115,10
35240332,male,140,65,125,15
35240333,female,105,55,105,0
35240333,male,105,35,105,10
35240334,female,110,70,105,0
35240334,male,135,55,110,20
35240335,female,110,50,110,0
35240335,male,120,30,115,10
35240336,female,130,45,120,10
35240336,male,120,40,110,15
35240337,female,135,35,135,10
35240337,male,165,25,150,15
35240338,female,265,65,260,10
35240338,male,250,65,230,25
35240339,female,285,380,285,10
35240339,male,265,210,250,15
35240340,female,105,75,100,0
35240340,male,120,45,105,10
35240341,female,270,105,235,30
35240341,male,265,80,255,10
35240342,female,150,205,150,0
35240342,male,140,155,130,10
35240343,female,90,40,85,0
35240343,male,85,45,90,0
35240344,female,110,70,115,0
35240344,male,135,40,130,0
35240345,female,120,95,110,10
35240345,male,140,85,140,0
35240346,female,155,70,140,15
35240346,male,150,70,145,10
35240347,female,120,85,115,0
35240347,male,135,35,135,0
35240348,female,150,55,125,20
35240348,male,150,45,145,10
35240349,female,215,50,205,10
35240349,male,195,40,190,10
35240350,female,230,115,215,15
35240350,male,270,65,260,15
35240351,female,190,70,185,0
35240351,male,165,55,165,0
35240352,female,105,25,100,0
35240352,male,110,10,110,0
35240353,female,210,100,190,15
35240353,male,145,85,140,10
35240354,female,130,20,120,10
35240354,male,105,0,105,0
35240355,female,130,25,115,20
35240355,male,110,35,100,10
35240356,female,180,80,170,10
35240356,male,155,60,150,10
35240357,female,125,35,115,10
35240357,male,170,50,155,20
35240358,female,200,60,195,0
35240358,male,265,60,240,20
35240359,female,180,50,165,15
35240359,male,185,35,175,10
35240363,female,150,95,150,0
35240363,male,170,45,165,10
35240364,female,155,35,150,10
35240364,male,145,30,145,0
35240365,female,70,40,65,10
35240365,male,105,30,95,10
