,geo_code,Secondary (high) school diploma or equivalency certificate,"College, CEGEP or other non-university certificate or diploma",University certificate or diploma below bachelor level,Bachelor's degree,"Degree in medicine, dentistry, veterinary medicine or optometry",Master's degree,Earned doctorate
0,35240317,135,120,10,10,0,20,0
2,35240318,90,80,0,0,0,10,10
4,35240319,40,50,0,0,0,10,0
6,35240320,80,110,0,0,0,20,0
8,35240321,75,80,0,0,0,20,0
10,35240322,75,40,0,0,0,10,0
12,35240323,65,70,10,10,0,10,10
14,35240324,80,115,0,0,0,10,0
16,35240325,75,60,10,10,10,0,0
18,35240326,70,70,15,15,0,0,0
20,35240327,45,65,10,10,0,0,0
22,35240328,95,40,0,0,0,10,0
24,35240329,90,90,10,10,0,10,0
26,35240330,90,70,0,0,0,10,0
28,35240331,100,135,10,10,0,15,0
30,35240332,65,50,0,0,0,0,0
32,35240333,35,70,0,0,0,10,0
34,35240334,65,60,0,0,0,0,0
36,35240335,55,40,10,10,0,0,0
38,35240336,70,50,10,10,0,0,0
40,35240337,60,70,10,10,0,0,0
42,35240338,110,70,0,0,0,20,0
44,35240339,215,170,15,15,0,20,0
46,35240340,50,55,0,0,0,0,0
48,35240341,130,115,10,10,0,15,0
50,35240342,115,70,10,10,0,10,0
52,35240343,25,50,0,0,0,10,0
54,35240344,50,40,10,10,0,20,0
56,35240345,50,70,10,10,0,0,0
58,35240346,65,90,10,10,0,0,0
60,35240347,50,55,0,0,0,0,0
62,35240348,35,55,10,10,0,10,0
64,35240349,60,85,10,10,0,20,0
66,35240350,75,105,0,0,0,10,0
68,35240351,65,40,10,10,0,30,0
70,35240352,35,45,0,0,0,10,0
72,35240353,90,90,0,0,0,10,0
74,35240354,35,40,10,10,0,10,0
76,35240355,55,30,10,10,0,0,0
78,35240356,55,50,10,10,0,20,0
80,35240357,35,25,0,0,0,15,0
82,35240358,50,45,15,15,0,30,0
84,35240359,45,70,0,0,0,10,0
86,35240363,65,55,0,0,0,15,0
88,35240364,50,60,0,0,0,10,0
90,35240365,20,25,0,0,0,10,0
92,35240366,70,40,10,10,0,15,0
94,35240367,55,60,0,0,0,20,0
96,35240368,70,75,0,0,0,10,10
98,35240369,65,65,15,15,0,10,0
100,35240370,80,80,10,10,0,0,0
102,35240371,45,45,0,0,0,0,0
104,35240372,50,65,10,10,0,0,0
106,35240373,45,40,0,0,0,10,0
108,35240374,40,40,20,20,10,0,0
110,35240375,75,115,0,0,0,0,0
112,35240376,65,85,0,0,0,15,0
114,35240377,30,45,0,0,10,0,0
116,35240378,80,40,10,10,0,15,0
118,35240379,25,60,0,0,0,0,0
120,35240380,60,40,0,0,0,10,0
122,35240381,120,165,10,10,40,70,0
124,35240382,30,65,10,10,15,15,0
126,35240383,50,60,0,0,0,15,0
128,35240384,50,75,10,10,0,10,10
130,35240385,40,60,0,0,10,20,10
132,35240386,15,25,0,0,0,0,0
134,35240387,75,70,10,10,0,15,0
136,35240388,130,60,0,0,10,35,0
138,35240391,70,65,10,10,0,10,0
140,35240392,50,100,0,0,10,0,10
142,35240393,55,90,10,10,10,25,10
144,35240394,25,25,10,10,0,30,0
146,35240395,75,75,0,0,0,25,0
148,35240396,40,30,0,0,0,15,0
150,35240397,410,340,20,20,20,50,0
152,35240398,105,65,20,20,0,10,0
154,35240399,50,65,0,0,0,10,0
156,35240400,175,170,0,0,10,25,15
158,35240401,70,150,10,10,0,30,0
160,35240402,25,65,15,15,0,0,0
162,35240403,45,45,10,10,0,10,0
