,geo_code,In Labour Force (F),Not in Labour Force (F),Employed (F),Unemployed (F)
0,35240317,215,205,210,10
2,35240318,215,125,210,10
4,35240319,135,25,135,0
6,35240320,235,70,220,15
8,35240321,225,85,220,10
10,35240322,145,55,140,10
12,35240323,155,60,140,15
14,35240324,260,65,245,10
16,35240325,145,85,140,0
18,35240326,115,90,105,10
20,35240327,115,95,115,0
22,35240328,125,100,120,10
24,35240329,190,55,175,20
26,35240330,175,110,165,10
28,35240331,250,130,235,15
30,35240332,125,75,115,10
32,35240333,105,55,105,0
34,35240334,110,70,105,0
36,35240335,110,50,110,0
38,35240336,130,45,120,10
40,35240337,135,35,135,10
42,35240338,265,65,260,10
44,35240339,285,380,285,10
46,35240340,105,75,100,0
48,35240341,270,105,235,30
50,35240342,150,205,150,0
52,35240343,90,40,85,0
54,35240344,110,70,115,0
56,35240345,120,95,110,10
58,35240346,155,70,140,15
60,35240347,120,85,115,0
62,35240348,150,55,125,20
64,35240349,215,50,205,10
66,35240350,230,115,215,15
68,35240351,190,70,185,0
70,35240352,105,25,100,0
72,35240353,210,100,190,15
74,35240354,130,20,120,10
76,35240355,130,25,115,20
78,35240356,180,80,170,10
80,35240357,125,35,115,10
82,35240358,200,60,195,0
84,35240359,180,50,165,15
86,35240363,150,95,150,0
88,35240364,155,35,150,10
90,35240365,70,40,65,10
92,35240366,180,75,170,15
94,35240367,160,85,155,0
96,35240368,160,75,160,0
98,35240369,245,60,235,15
100,35240370,185,95,170,20
102,35240371,105,60,95,10
104,35240372,105,80,105,0
106,35240373,95,55,85,10
108,35240374,135,55,135,0
110,35240375,180,80,175,10
112,35240376,160,50,160,0
114,35240377,105,30,95,10
116,35240378,140,85,140,0
118,35240379,85,40,85,0
120,35240380,100,50,95,10
122,35240381,365,255,360,0
124,35240382,120,80,115,0
126,35240383,115,95,110,0
128,35240384,155,105,140,10
130,35240385,105,80,95,10
132,35240386,60,40,55,10
134,35240387,140,115,125,20
136,35240388,205,205,190,15
138,35240391,80,125,75,0
140,35240392,160,110,155,10
142,35240393,200,75,160,40
144,35240394,105,65,105,0
146,35240395,140,100,125,15
148,35240396,100,70,100,0
150,35240397,615,780,600,15
152,35240398,135,200,130,10
154,35240399,125,105,120,0
156,35240400,395,215,375,15
158,35240401,255,120,240,15
160,35240402,120,55,105,15
162,35240403,85,60,70,15
164,35240404,155,125,150,10
166,35240405,170,160,160,10
168,35240406,110,60,105,0
170,35240409,160,75,140,20
172,35240410,90,40,80,0
174,35240411,140,110,140,0
176,35240412,105,55,100,10
178,35240413,135,75,125,15
180,35240414,115,95,100,15
182,35240417,170,115,150,25
184,35240420,145,65,120,25
186,35240421,120,70,110,10
188,35240422,125,170,130,0
190,35240423,170,130,160,10
192,35240425,125,75,125,0
194,35240427,260,315,240,15
196,35240428,165,80,140,25
198,35240429,150,100,135,10
200,35240431,100,55,90,0
202,35240432,80,125,80,0
204,35240433,140,90,130,10
206,35240436,90,55,85,0
208,35240437,105,155,100,0
210,35240438,180,75,170,10
212,35240439,155,90,135,15
214,35240440,130,80,130,0
216,35240441,180,130,175,10
218,35240442,115,90,115,10
220,35240443,205,90,185,25
222,35240444,130,65,110,25
224,35240445,195,80,180,20
226,35240446,115,160,105,10
228,35240447,235,80,225,15
230,35240448,170,75,155,10
232,35240449,90,20,90,0
234,35240450,155,80,140,15
236,35240451,220,50,200,15
238,35240452,120,55,110,10
240,35240453,130,85,120,0
242,35240455,130,270,115,15
244,35240459,70,80,65,0
246,35240460,105,85,100,10
248,35240461,130,60,125,0
250,35240462,80,125,80,10
252,35240463,155,140,150,10
254,35240464,85,65,80,0
256,35240465,240,180,235,10
258,35240466,215,120,215,0
260,35240467,130,175,130,0
262,35240468,170,50,160,10
264,35240469,180,95,180,0
