,geo_code,English Only (F),French Only (F),Neither English nor French (F)
0,35240317,360,10,5
2,35240318,360,5,5
4,35240319,180,5,0
6,35240320,275,0,0
8,35240321,325,15,0
10,35240322,195,5,5
12,35240323,180,0,0
14,35240324,365,5,0
16,35240325,220,5,0
18,35240326,210,5,0
20,35240327,190,5,0
22,35240328,215,5,5
24,35240329,245,10,5
26,35240330,250,5,0
28,35240331,375,5,0
30,35240332,200,5,0
32,35240333,150,5,0
34,35240334,180,5,5
36,35240335,180,5,0
38,35240336,200,10,0
40,35240337,185,5,0
42,35240338,315,5,0
44,35240339,590,20,0
46,35240340,160,0,0
48,35240341,335,15,0
50,35240342,320,10,0
52,35240343,140,0,0
54,35240344,225,0,0
56,35240345,230,10,5
58,35240346,215,5,0
60,35240347,215,0,5
62,35240348,180,10,0
64,35240349,215,10,5
66,35240350,300,10,10
68,35240351,235,5,5
70,35240352,130,5,0
72,35240353,290,10,5
74,35240354,125,5,0
76,35240355,150,0,5
78,35240356,235,5,5
80,35240357,155,0,0
82,35240358,275,10,0
84,35240359,190,5,5
86,35240363,235,0,5
88,35240364,195,5,0
90,35240365,155,5,0
92,35240366,255,5,5
94,35240367,250,5,5
96,35240368,270,5,0
98,35240369,275,5,0
100,35240370,240,10,5
102,35240371,175,0,0
104,35240372,210,0,5
106,35240373,175,5,0
108,35240374,175,5,0
110,35240375,255,5,0
112,35240376,210,0,0
114,35240377,165,5,0
116,35240378,240,10,0
118,35240379,105,5,0
120,35240380,180,5,0
122,35240381,590,10,0
124,35240382,180,0,0
126,35240383,205,5,0
128,35240384,255,5,0
130,35240385,160,0,5
132,35240386,85,10,0
134,35240387,225,5,0
136,35240388,310,5,0
138,35240391,155,5,5
140,35240392,260,5,5
142,35240393,255,5,0
144,35240394,195,0,0
146,35240395,230,5,0
148,35240396,175,5,0
150,35240397,1150,35,10
152,35240398,285,10,5
154,35240399,235,5,0
156,35240400,630,20,0
158,35240401,365,10,0
160,35240402,225,5,0
162,35240403,205,15,5
164,35240404,290,5,0
166,35240405,325,5,10
168,35240406,150,5,0
170,35240409,275,10,0
172,35240410,115,10,0
174,35240411,220,15,5
176,35240412,185,10,5
178,35240413,200,10,0
180,35240414,190,0,0
182,35240417,230,5,5
184,35240420,230,5,0
186,35240421,150,0,5
188,35240422,250,5,5
190,35240423,300,5,5
192,35240425,185,5,0
194,35240427,480,10,0
196,35240428,210,5,0
198,35240429,190,10,5
200,35240431,140,0,0
202,35240432,215,5,0
204,35240433,300,5,0
