,geo_code,owner,renter,band housing
0,35240317,360,30,0
1,35240318,215,60,0
2,35240319,135,0,0
3,35240320,320,35,0
4,35240321,240,10,0
5,35240322,140,0,0
6,35240323,160,0,0
7,35240324,255,35,0
8,35240325,175,10,0
9,35240326,175,0,0
10,35240327,165,15,0
11,35240328,140,65,0
12,35240329,205,15,0
13,35240330,165,65,0
14,35240331,270,110,0
15,35240332,145,50,0
16,35240333,125,30,0
17,35240334,170,10,0
18,35240335,125,30,0
19,35240336,130,35,0
20,35240337,140,20,0
21,35240338,155,170,0
22,35240339,485,195,0
23,35240340,145,0,0
24,35240341,290,15,0
25,35240342,290,35,0
26,35240343,125,0,0
27,35240344,135,0,0
28,35240345,200,10,0
29,35240346,175,10,0
30,35240347,140,10,0
31,35240348,145,0,0
32,35240349,190,10,0
33,35240350,250,10,0
34,35240351,175,40,0
35,35240352,110,0,0
36,35240353,110,120,0
37,35240354,100,0,0
38,35240355,105,15,0
39,35240356,145,0,0
40,35240357,125,0,0
41,35240358,225,0,0
42,35240359,140,0,0
43,35240363,185,10,0
44,35240364,135,10,0
45,35240365,110,0,0
46,35240366,195,10,0
47,35240367,190,10,0
48,35240368,205,0,0
49,35240369,245,10,0
50,35240370,205,20,0
51,35240371,155,0,0
52,35240372,165,0,0
53,35240373,135,10,0
54,35240374,155,0,0
55,35240375,195,10,0
56,35240376,165,0,0
57,35240377,130,0,0
58,35240378,105,70,0
59,35240379,95,10,0
60,35240380,115,10,0
61,35240381,455,60,0
62,35240382,140,10,0
63,35240383,160,0,0
64,35240384,215,10,0
65,35240385,150,0,0
66,35240386,75,0,0
67,35240387,205,0,0
68,35240388,315,20,0
69,35240391,165,15,0
70,35240392,195,135,0
71,35240393,220,10,0
72,35240394,165,10,0
73,35240395,180,50,0
74,35240396,130,10,0
75,35240397,440,1005,0
76,35240398,135,230,0
77,35240399,185,10,0
78,35240400,445,120,0
79,35240401,330,35,0
80,35240402,140,20,0
81,35240403,100,15,0
82,35240404,245,10,0
83,35240405,235,90,0
84,35240406,115,10,0
85,35240409,0,185,0
86,35240410,45,65,0
87,35240411,220,10,0
88,35240412,115,25,0
89,35240413,130,45,0
90,35240414,180,10,0
91,35240417,40,305,0
92,35240420,170,60,0
93,35240421,50,150,0
94,35240422,105,245,0
95,35240423,10,330,0
96,35240425,125,70,0
97,35240427,250,420,0
98,35240428,95,215,0
99,35240429,0,250,0
100,35240431,135,10,0
101,35240432,155,70,0
102,35240433,205,30,0
103,35240436,95,35,0
104,35240437,180,115,0
105,35240438,190,30,0
106,35240439,180,25,0
107,35240440,95,140,0
108,35240441,210,120,0
109,35240442,180,15,0
110,35240443,220,35,0
111,35240444,120,100,0
112,35240445,90,235,0
113,35240446,200,160,0
114,35240447,15,335,0
115,35240448,195,30,0
116,35240449,100,15,0
117,35240450,115,150,0
118,35240451,160,90,0
119,35240452,95,35,0
120,35240453,150,40,0
121,35240455,45,405,0
122,35240459,150,0,0
123,35240460,165,0,0
124,35240461,145,10,0
125,35240462,175,20,0
126,35240463,225,20,0
127,35240464,115,20,0
128,35240465,85,380,0
129,35240466,160,170,0
130,35240467,205,70,0
131,35240468,170,0,0
132,35240469,85,175,0
133,35240470,185,20,0
134,35240471,160,10,0
135,35240472,235,10,0
136,35240473,180,0,0
137,35240474,220,0,0
138,35240475,215,10,0
139,35240476,185,10,0
140,35240477,210,15,0
141,35240478,110,15,0
142,35240479,85,110,0
143,35240480,90,265,0
144,35240481,165,10,0
145,35240482,280,20,0
146,35240483,195,35,0
147,35240484,395,70,0
148,35240485,130,10,0
149,35240486,220,10,0
150,35240487,95,0,0
151,35240488,410,70,0
152,35240489,180,10,0
153,35240490,105,0,0
154,35240491,200,0,0
155,35240492,205,25,0
156,35240493,375,70,0
157,35240494,165,0,0
158,35240495,130,170,0
159,35240496,165,0,0
160,35240497,150,0,0
161,35240498,140,0,0
162,35240499,110,0,0
163,35240501,95,0,0
164,35240503,160,15,0
165,35240504,155,10,0
166,35240505,150,65,0
167,35240506,165,0,0
168,35240507,185,15,0
169,35240508,225,35,0
170,35240509,205,50,0
171,35240512,45,135,0
172,35240513,150,50,0
173,35240516,225,15,0
174,35240517,175,0,0
175,35240518,255,0,0
176,35240519,150,0,0
177,35240520,250,20,0
178,35240521,220,10,0
179,35240522,160,0,0
180,35240523,150,10,0
181,35240524,175,15,0
182,35240525,195,0,0
183,35240526,105,0,0
184,35240528,120,20,0
185,35240529,155,10,0
186,35240530,140,10,0
187,35240531,140,10,0
188,35240532,485,60,0
189,35240533,110,0,0
190,35240534,60,95,0
191,35240535,150,15,0
192,35240536,155,185,0
193,35240537,155,100,0
194,35240538,180,210,0
195,35240539,320,80,0
196,35240540,160,0,0
197,35240541,140,0,0
198,35240542,230,15,0
199,35240543,195,15,0
200,35240544,130,55,0
201,35240545,325,10,0
202,35240546,60,260,0
203,35240590,150,440,0
204,35240591,170,355,0
205,35240592,195,705,0
206,35240593,425,60,0
207,35240594,85,205,0
208,35240595,370,160,0
209,35240596,375,450,0
210,35240598,530,765,0
211,35240641,165,10,0
212,35240642,160,10,0
213,35240643,200,25,0
214,35240644,170,10,0
215,35240645,135,20,0
216,35240647,215,15,0
217,35240648,305,35,0
218,35240649,210,15,0
219,35240650,245,10,0
220,35240651,190,0,0
221,35240654,170,0,0
222,35240655,480,0,0
223,35240656,120,0,0
224,35240659,235,155,0
225,35240660,225,15,0
226,35240661,160,0,0
227,35240662,835,105,0
228,35240663,165,10,0
229,35240664,215,10,0
230,35240665,165,0,0
231,35240666,370,95,0
232,35240667,210,0,0
233,35240668,160,10,0
234,35240669,315,10,0
235,35240670,205,10,0
236,35240671,195,20,0
237,35240672,250,0,0
238,35240673,135,10,0
239,35240674,230,10,0
240,35240675,350,10,0
241,35240676,300,80,0
242,35240677,135,10,0
243,35240678,550,140,0
244,35240679,230,30,0
245,35240680,370,175,0
246,35240681,155,85,0
247,35240682,250,20,0
248,35240683,235,10,0
249,35240684,350,65,0
250,35240685,355,60,0
251,35240686,330,0,0
252,35240756,190,15,0
253,35240757,180,10,0
254,35240758,330,15,0
255,35240759,220,0,0
256,35240780,350,25,0
257,35240782,260,10,0
258,35240783,125,0,0
259,35240785,260,20,0
260,35240807,185,245,0
261,35240808,380,185,0
262,35240809,25,10,0
263,35240898,920,45,0
264,35240903,x,x,x
265,35240904,470,95,0
266,35250030,150,10,0
267,35250031,140,25,0
268,35250032,205,30,0
269,35250033,205,0,0
270,35250034,235,50,0
271,35250035,125,45,0
272,35250036,180,55,0
273,35250037,115,135,0
274,35250038,170,245,0
275,35250039,65,245,0
276,35250040,85,135,0
277,35250041,80,160,0
278,35250042,65,35,0
279,35250043,245,25,0
280,35250044,150,0,0
281,35250045,45,200,0
282,35250046,175,25,0
283,35250047,205,50,0
284,35250048,110,0,0
285,35250049,150,0,0
286,35250050,160,0,0
287,35250051,530,10,0
288,35250052,125,0,0
289,35250053,255,10,0
290,35250054,135,0,0
291,35250055,280,20,0
292,35250056,70,0,0
293,35250059,375,15,0
294,35250060,235,30,0
295,35250061,145,10,0
296,35250062,165,50,0
297,35250064,285,20,0
298,35250065,165,10,0
299,35250066,145,10,0
300,35250067,185,15,0
301,35250070,185,0,0
302,35250073,150,10,0
303,35250074,105,0,0
304,35250075,140,10,0
305,35250077,130,70,0
306,35250078,130,0,0
307,35250079,105,0,0
308,35250080,145,70,0
309,35250081,235,155,0
310,35250082,75,10,0
311,35250083,100,120,0
312,35250084,110,0,0
313,35250085,100,10,0
314,35250086,150,10,0
315,35250087,165,20,0
316,35250088,150,10,0
317,35250089,0,295,0
318,35250093,155,50,0
319,35250094,65,65,0
320,35250095,150,20,0
321,35250096,165,30,0
322,35250097,120,0,0
323,35250098,75,0,0
324,35250099,215,90,0
325,35250100,175,10,0
326,35250101,155,10,0
327,35250102,100,10,0
328,35250105,235,10,0
329,35250106,175,10,0
330,35250107,195,0,0
331,35250108,185,15,0
332,35250109,225,40,0
333,35250110,205,10,0
334,35250111,145,180,0
335,35250112,155,10,0
336,35250113,90,30,0
337,35250114,125,10,0
338,35250115,225,345,0
339,35250116,215,30,0
340,35250117,80,0,0
341,35250118,100,25,0
342,35250119,155,15,0
343,35250120,130,15,0
344,35250121,155,35,0
345,35250122,105,15,0
346,35250123,120,0,0
347,35250124,110,55,0
348,35250125,115,0,0
349,35250126,90,135,0
350,35250127,425,60,0
351,35250128,125,15,0
352,35250129,115,0,0
353,35250130,115,0,0
354,35250133,100,135,0
355,35250134,225,30,0
356,35250135,520,30,0
357,35250136,110,0,0
358,35250137,130,10,0
359,35250144,490,25,0
360,35250145,140,0,0
361,35250146,280,0,0
362,35250147,145,15,0
363,35250148,165,15,0
364,35250149,180,0,0
365,35250150,210,20,0
366,35250151,155,10,0
367,35250152,505,45,0
368,35250153,210,0,0
369,35250156,125,0,0
370,35250158,155,10,0
371,35250159,145,0,0
372,35250160,125,10,0
373,35250161,225,0,0
374,35250162,145,10,0
375,35250163,160,45,0
376,35250164,170,85,0
377,35250172,155,15,0
378,35250173,345,55,0
379,35250175,330,160,0
380,35250176,215,10,0
381,35250177,190,60,0
382,35250178,165,15,0
383,35250179,190,10,0
384,35250180,460,60,0
385,35250181,105,20,0
386,35250183,80,0,0
387,35250184,115,0,0
388,35250185,70,50,0
389,35250186,105,10,0
390,35250188,255,25,0
391,35250189,185,0,0
392,35250190,125,10,0
393,35250191,255,20,0
394,35250192,465,20,0
395,35250193,120,0,0
396,35250194,145,0,0
397,35250196,170,10,0
398,35250197,170,0,0
399,35250199,685,370,0
400,35250200,145,95,0
401,35250201,90,0,0
402,35250202,115,325,0
403,35250203,100,315,0
404,35250204,165,210,0
405,35250205,75,10,0
406,35250206,230,10,0
407,35250207,110,0,0
408,35250208,140,15,0
409,35250209,140,0,0
410,35250210,155,20,0
411,35250211,175,30,0
412,35250212,85,145,0
413,35250213,155,15,0
414,35250216,130,15,0
415,35250217,80,145,0
416,35250218,165,35,0
