,geo_code,household_income
0,35240317,45184
1,35240318,38784
2,35240319,48896
3,35240320,46891
4,35240321,50987
5,35240322,44971
6,35240323,44075
7,35240324,39680
8,35240325,37504
9,35240326,40448
10,35240327,42112
11,35240328,36352
12,35240329,41131
13,35240330,30976
14,35240331,40988
15,35240332,34603
16,35240333,39296
17,35240334,36309
18,35240335,41120
19,35240336,39040
20,35240337,39296
21,35240338,38101
22,35240339,35328
23,35240340,38464
24,35240341,37056
25,35240342,36160
26,35240343,50944
27,35240344,42368
28,35240345,41088
29,35240346,44864
30,35240347,38272
31,35240348,46933
32,35240349,39040
33,35240350,41664
34,35240351,41088
35,35240352,39744
36,35240353,31808
37,35240354,45184
38,35240355,43840
39,35240356,42624
40,35240357,41984
41,35240358,51968
42,35240359,43776
43,35240363,50176
44,35240364,50304
45,35240365,46336
46,35240366,47520
47,35240367,44331
48,35240368,45696
49,35240369,42752
50,35240370,41003
51,35240371,45888
52,35240372,40064
53,35240373,38059
54,35240374,44928
55,35240375,40320
56,35240376,45760
57,35240377,47488
58,35240378,35072
59,35240379,41472
60,35240380,48960
61,35240381,53350
62,35240382,54656
63,35240383,46037
64,35240384,45248
65,35240385,65152
66,35240386,66176
67,35240387,51584
68,35240388,56128
69,35240391,33920
70,35240392,39488
71,35240393,57984
72,35240394,54976
73,35240395,39104
74,35240396,47360
75,35240397,37440
76,35240398,42112
77,35240399,52608
78,35240400,47072
79,35240401,47552
80,35240402,41280
81,35240403,42112
82,35240404,54886
83,35240405,42368
84,35240406,42112
85,35240409,35296
86,35240410,36992
87,35240411,38208
88,35240412,41472
89,35240413,41024
90,35240414,46464
91,35240417,35669
92,35240420,46208
93,35240421,42496
94,35240422,37760
95,35240423,27072
96,35240425,44288
97,35240427,47872
98,35240428,30368
99,35240429,25344
100,35240431,59264
101,35240432,49152
102,35240433,55467
103,35240436,37120
104,35240437,36693
105,35240438,40576
106,35240439,40576
107,35240440,36224
108,35240441,47104
109,35240442,50112
110,35240443,53547
111,35240444,39040
112,35240445,29760
113,35240446,31782
114,35240447,30496
115,35240448,40875
116,35240449,40000
117,35240450,32384
118,35240451,38528
119,35240452,32576
120,35240453,40832
121,35240455,28048
122,35240459,48960
123,35240460,41600
124,35240461,45504
125,35240462,51200
126,35240463,39552
127,35240464,40832
128,35240465,31531
129,35240466,35895
130,35240467,47744
131,35240468,70400
132,35240469,34842
133,35240470,75571
134,35240471,59008
135,35240472,53547
136,35240473,52224
137,35240474,55296
138,35240475,45440
139,35240476,59072
140,35240477,56896
141,35240478,43008
142,35240479,22816
143,35240480,27264
144,35240481,44352
145,35240482,39168
146,35240483,44352
147,35240484,47872
148,35240485,48512
149,35240486,45952
150,35240487,40832
151,35240488,47305
152,35240489,40064
153,35240490,40064
154,35240491,51392
155,35240492,38016
156,35240493,35552
157,35240494,39552
158,35240495,23253
159,35240496,40832
160,35240497,42880
161,35240498,47104
162,35240499,48320
163,35240501,41280
164,35240503,36032
165,35240504,42496
166,35240505,28352
167,35240506,45440
168,35240507,35712
169,35240508,38784
170,35240509,39296
171,35240512,37568
172,35240513,40576
173,35240516,58816
174,35240517,47552
175,35240518,42240
176,35240519,44416
177,35240520,41088
178,35240521,48320
179,35240522,54656
180,35240523,47872
181,35240524,60928
182,35240525,47872
183,35240526,51328
184,35240528,38336
185,35240529,44629
186,35240530,42453
187,35240531,44885
188,35240532,46464
189,35240533,39488
190,35240534,31424
191,35240535,38016
192,35240536,33152
193,35240537,42709
194,35240538,28960
195,35240539,48448
196,35240540,46848
197,35240541,45184
198,35240542,47296
199,35240543,41139
200,35240544,32320
201,35240545,51072
202,35240546,32811
203,35240590,38315
204,35240591,34144
205,35240592,27840
206,35240593,40640
207,35240594,31520
208,35240595,31360
209,35240596,38848
210,35240598,38577
211,35240641,49664
212,35240642,53888
213,35240643,42624
214,35240644,40576
215,35240645,43264
216,35240647,44416
217,35240648,44203
218,35240649,48384
219,35240650,50816
220,35240651,48640
221,35240654,63104
222,35240655,58048
223,35240656,59904
224,35240659,35968
225,35240660,46549
226,35240661,53504
227,35240662,47824
228,35240663,51328
229,35240664,46720
230,35240665,47552
231,35240666,45760
232,35240667,62080
233,35240668,51136
234,35240669,52608
235,35240670,57728
236,35240671,51904
237,35240672,52651
238,35240673,42880
239,35240674,63744
240,35240675,55168
241,35240676,47936
242,35240677,66752
243,35240678,46112
244,35240679,44800
245,35240680,44224
246,35240681,46507
247,35240682,45696
248,35240683,53675
249,35240684,46720
250,35240685,57536
251,35240686,57024
252,35240756,51072
253,35240757,59904
254,35240758,46720
255,35240759,56064
256,35240780,55189
257,35240782,43904
258,35240783,52864
259,35240785,62592
260,35240807,39680
261,35240808,42854
262,35240809,0
263,35240898,49510
264,35240903,0
265,35240904,46592
266,35250030,32768
267,35250031,40704
268,35250032,43392
269,35250033,56875
270,35250034,40875
271,35250035,39680
272,35250036,50368
273,35250037,38592
274,35250038,33685
275,35250039,29632
276,35250040,25984
277,35250041,32480
278,35250042,0
279,35250043,43648
280,35250044,44160
281,35250045,24832
282,35250046,45888
283,35250047,44928
284,35250048,59072
285,35250049,50176
286,35250050,50048
287,35250051,50656
288,35250052,44032
289,35250053,64512
290,35250054,40320
291,35250055,41728
292,35250056,0
293,35250059,48768
294,35250060,52181
295,35250061,51413
296,35250062,58496
297,35250064,48512
298,35250065,49024
299,35250066,52096
300,35250067,50080
301,35250070,41216
302,35250073,40832
303,35250074,35456
304,35250075,38315
305,35250077,25131
306,35250078,35541
307,35250079,37888
308,35250080,26240
309,35250081,29600
310,35250082,0
311,35250083,23296
312,35250084,29888
313,35250085,28000
314,35250086,37504
315,35250087,33280
316,35250088,38304
317,35250089,29120
318,35250093,32896
319,35250094,29376
320,35250095,36160
321,35250096,29808
322,35250097,39392
323,35250098,0
324,35250099,39398
325,35250100,43392
326,35250101,46165
327,35250102,50368
328,35250105,43221
329,35250106,38016
330,35250107,42581
331,35250108,35712
332,35250109,40235
333,35250110,35168
334,35250111,31552
335,35250112,35520
336,35250113,32672
337,35250114,39808
338,35250115,28523
339,35250116,36352
340,35250117,27712
341,35250118,33024
342,35250119,33536
343,35250120,32896
344,35250121,34304
345,35250122,35136
346,35250123,37291
347,35250124,32704
348,35250125,32768
349,35250126,23872
350,35250127,36288
351,35250128,40000
352,35250129,39936
353,35250130,41984
354,35250133,28352
355,35250134,37504
356,35250135,37952
357,35250136,31424
358,35250137,40064
359,35250144,52437
360,35250145,49024
361,35250146,55744
362,35250147,45184
363,35250148,47872
364,35250149,45952
365,35250150,41440
366,35250151,50688
367,35250152,49518
368,35250153,50645
369,35250156,46208
370,35250158,60672
371,35250159,61952
372,35250160,56448
373,35250161,64000
374,35250162,53376
375,35250163,59968
376,35250164,36928
377,35250172,41472
378,35250173,49344
379,35250175,35456
380,35250176,37888
381,35250177,35968
382,35250178,35392
383,35250179,39211
384,35250180,36640
385,35250181,33664
386,35250183,0
387,35250184,43648
388,35250185,39104
389,35250186,36000
390,35250188,42624
391,35250189,42176
392,35250190,34048
