geo_code,,median_government_transfers_2015,median_income
35240317,female,6752,42176
35240317,male,10528,57984
35240318,female,5264,27552
35240318,male,2424,47360
35240319,female,2208,35072
35240319,male,676,66816
35240320,female,4880,47744
35240320,male,1500,54400
35240321,female,3240,38272
35240321,male,638,54272
35240322,female,2904,33664
35240322,male,697,44864
35240323,female,2152,31488
35240323,male,984,35968
35240324,female,4208,29632
35240324,male,801,41216
35240325,female,5984,32960
35240325,male,4976,39936
35240326,female,4848,31200
35240326,male,7704,43776
35240327,female,4864,35200
35240327,male,3136,42880
35240328,female,9952,40320
35240328,male,10656,47168
35240329,female,3928,32896
35240329,male,1826,49024
35240330,female,7240,25760
35240330,male,1574,37120
35240331,female,4480,36864
35240331,male,775,45440
35240332,female,7701,34176
35240332,male,4848,40704
35240333,female,7232,34987
35240333,male,8064,51584
35240334,female,7504,28864
35240334,male,11040,48832
35240335,female,7672,32576
35240335,male,3264,43648
35240336,female,4656,32576
35240336,male,5072,44160
35240337,female,3584,31936
35240337,male,1128,46720
35240338,female,4592,30784
35240338,male,697,39765
35240339,female,13472,27008
35240339,male,13114,30144
35240340,female,5328,30592
35240340,male,5936,51072
35240341,female,4688,29760
35240341,male,1380,42027
35240342,female,11232,27968
35240342,male,11008,30112
35240343,female,5920,33920
35240343,male,8736,65152
35240344,female,5664,28960
35240344,male,834,54912
35240345,female,5664,32064
35240345,male,5568,45184
35240346,female,5200,37760
35240346,male,3496,57856
35240347,female,3160,34816
35240347,male,822,47936
35240348,female,2680,35968
35240348,male,558,57472
35240349,female,3272,30144
35240349,male,593,46400
35240350,female,3512,31168
35240350,male,1260,50432
35240351,female,4128,33579
35240351,male,558,54144
35240352,female,3064,31040
35240352,male,1452,44672
35240353,female,6352,29376
35240353,male,4416,53504
35240354,female,2696,39637
35240354,male,728,46528
35240355,female,4160,29120
35240355,male,505,60032
35240356,female,1564,29760
35240356,male,610,63872
35240357,female,1672,35840
35240357,male,557,52480
35240358,female,1568,46400
35240358,male,580,64896
35240359,female,1548,35328
35240359,male,592,69888
35240363,female,3340,38272
35240363,male,626,61013
35240364,female,3256,43264
35240364,male,674,60096
35240365,female,2652,35328
35240365,male,792,48128
35240366,female,3736,36224
35240366,male,2176,54400
35240367,female,2744,34432
35240367,male,1596,48256
35240368,female,4112,38272
35240368,male,3224,49344
35240369,female,4912,34688
35240369,male,1196,49408
35240370,female,6640,30272
35240370,male,3936,43968
35240371,female,6448,33536
35240371,male,4208,54464
35240372,female,6256,34432
35240372,male,3120,44672
35240373,female,4640,31936
35240373,male,1756,39168
35240374,female,4336,34432
35240374,male,1500,50816
35240375,female,5488,37952
35240375,male,702,43136
35240376,female,3960,38528
35240376,male,5312,55360
35240377,female,4024,29984
35240377,male,1996,60928
35240378,female,3032,28096
35240378,male,1298,47744
35240379,female,4056,35584
35240379,male,664,45632
35240380,female,4112,36736
35240380,male,1492,53376
35240381,female,6027,40832
35240381,male,2296,50560
35240382,female,6080,32896
35240382,male,5472,66304
35240383,female,6112,27200
35240383,male,964,46016
35240384,female,4480,34944
35240384,male,3544,38272
35240385,female,4656,38400
35240385,male,5264,67328
35240386,female,3656,39296
35240386,male,1524,71936
35240387,female,8080,35968
35240387,male,8928,48768
35240388,female,7840,33280
35240388,male,9568,52992
35240391,female,10608,30272
35240391,male,10464,34688
35240392,female,9376,35200
35240392,male,3384,41600
35240393,female,6992,47744
35240393,male,8533,62848
35240394,female,9728,39552
35240394,male,7856,47616
35240395,female,7120,23488
35240395,male,5968,44032
35240396,female,5936,45440
35240396,male,6064,46208
35240397,female,12601,27904
35240397,male,14184,28267
35240398,female,13088,25600
35240398,male,13075,26496
35240399,female,5488,38528
35240399,male,3728,67328
35240400,female,5344,38912
35240400,male,3160,52173
35240401,female,5744,38720
35240401,male,4112,58496
35240402,female,5360,40128
35240402,male,3640,34752
35240403,female,7192,31744
35240403,male,3624,38656
35240404,female,6672,36224
35240404,male,5072,41600
35240405,female,8000,35456
35240405,male,10432,51968
35240406,female,5616,37120
35240406,male,5488,46464
35240409,female,5760,27584
35240409,male,948,37376
35240410,female,7376,30976
35240410,male,5392,41856
35240411,female,6672,35712
35240411,male,4784,36352
35240412,female,3952,34176
35240412,male,3560,48768
35240413,female,7088,28544
35240413,male,5472,52608
35240414,female,7568,41216
35240414,male,6800,52864
35240417,female,6560,28224
35240417,male,1354,43520
35240420,female,3508,33536
35240420,male,1580,60672
35240421,female,5728,38016
35240421,male,1692,46080
35240422,female,12512,24640
35240422,male,9024,41856
35240423,female,13472,34048
35240423,male,10464,37376
35240425,female,3048,30208
35240425,male,690,62848
35240427,female,11536,33152
35240427,male,11785,49024
35240428,female,7216,23552
35240428,male,4624,32608
35240429,female,10144,24000
35240429,male,7608,27232
35240431,female,1548,43840
35240431,male,2824,63616
35240432,female,7632,24960
35240432,male,10768,50048
35240433,female,5968,45952
35240433,male,1092,54656
35240436,female,10272,31808
35240436,male,1580,32576
35240437,female,13824,40256
35240437,male,10592,48512
35240438,female,6608,37504
35240438,male,638,40832
35240439,female,6976,36352
35240439,male,4304,41280
35240440,female,9195,32448
35240440,male,2232,36480
35240441,female,6544,41429
35240441,male,1150,49536
35240442,female,3976,37760
35240442,male,1252,62592
35240443,female,3856,41472
35240443,male,1180,58112
35240444,female,3916,37312
35240444,male,822,42624
35240445,female,6736,22080
35240445,male,1964,33152
35240446,female,13312,24384
35240446,male,13056,31808
35240447,female,2020,26240
35240447,male,1468,36224
35240448,female,5680,31424
35240448,male,1444,41088
35240449,female,3928,34176
35240449,male,754,45504
35240450,female,6008,23488
35240450,male,1400,34496
35240451,female,4000,31424
35240451,male,882,46976
35240452,female,4560,26176
35240452,male,1220,38016
35240453,female,5184,31840
35240453,male,1632,48896
35240455,female,14432,22528
35240455,male,14752,31808
35240459,female,5104,43904
35240459,male,2092,55552
35240460,female,5872,34176
35240460,male,7472,40192
35240461,female,4880,33536
35240461,male,2552,48896
35240462,female,9728,29888
35240462,male,14176,32576
35240463,female,5200,30272
35240463,male,1428,49024
35240464,female,9504,33408
35240464,male,2628,42944
35240465,female,10624,27968
35240465,male,8288,29760
35240466,female,10912,26688
35240466,male,6688,38144
35240467,female,10272,33664
35240467,male,7184,47488
35240468,female,2288,40576
35240468,male,632,68864
35240469,female,4616,26944
35240469,male,3128,45696
35240470,female,2424,45312
35240470,male,1588,79360
35240471,female,3000,34816
35240471,male,572,54016
35240472,female,4528,34944
35240472,male,1732,68096
35240473,female,2888,28992
35240473,male,1412,55872
35240474,female,5264,36608
35240474,male,6352,55680
35240475,female,3844,38528
35240475,male,2080,52992
35240476,female,3560,32896
35240476,male,818,72576
35240477,female,2600,37888
35240477,male,644,91392
35240478,female,7056,35712
35240478,male,1052,40320
35240479,female,15136,19136
35240479,male,12064,30784
35240480,female,9824,23392
35240480,male,1844,36992
35240481,female,7152,31072
35240481,male,2880,50048
35240482,female,7088,31040
35240482,male,2824,39040
35240483,female,6256,42368
35240483,male,7504,45312
35240484,female,2832,41088
35240484,male,644,55264
35240485,female,9312,46464
35240485,male,2904,33920
35240486,female,5120,40320
35240486,male,1844,46528
35240487,female,5648,29504
35240487,male,4240,48000
35240488,female,3244,42581
35240488,male,654,56704
35240489,female,5952,33536
35240489,male,6088,38912
35240490,female,5792,32704
35240490,male,1108,47616
35240491,female,4640,33024
35240491,male,5296,62336
35240492,female,4320,26944
35240492,male,702,48832
35240493,female,14037,21568
35240493,male,15008,21312
35240494,female,4832,33664
35240494,male,854,52352
35240495,female,9648,22848
35240495,male,5600,37248
35240496,female,6608,33152
35240496,male,4944,50048
35240497,female,3800,38272
35240497,male,1268,47488
35240498,female,6320,40320
35240498,male,3208,56448
35240499,female,3424,42752
35240499,male,906,59776
