geo_code,1 person,2 persons,3 persons,4 persons,5 or more persons
35240317,110,135,60,50,15
35240318,30,85,65,70,30
35240319,10,35,30,50,20
35240320,215,100,20,10,10
35240321,50,70,50,60,30
35240322,5,50,25,50,20
35240323,10,60,30,40,20
35240324,55,75,65,65,25
35240325,20,65,40,40,15
35240326,25,70,40,30,20
35240327,25,65,30,35,15
35240328,65,70,25,25,20
35240329,45,70,60,50,10
35240330,30,70,45,40,20
35240331,125,130,60,55,20
35240332,50,80,20,20,20
35240333,40,60,30,25,5
35240334,30,85,30,25,5
35240335,40,50,30,25,10
35240336,35,55,40,40,10
35240337,30,40,30,35,10
35240338,80,110,60,35,25
35240339,310,265,65,45,15
35240340,20,65,30,25,10
35240341,50,105,55,50,35
35240342,105,120,45,40,30
35240343,5,55,25,20,10
35240344,5,45,15,40,25
35240345,45,70,45,30,10
35240346,20,60,40,40,20
35240347,20,45,40,40,15
35240348,10,50,40,45,10
35240349,15,65,45,45,25
35240350,20,85,60,55,25
35240351,20,45,55,55,25
35240352,15,30,25,25,10
35240353,25,70,55,60,15
35240354,15,35,25,20,15
35240355,10,30,30,45,10
35240356,0,20,30,65,30
35240357,5,30,25,35,20
35240358,20,75,40,70,25
35240359,5,35,30,60,20
35240363,15,60,45,50,25
35240364,10,35,35,45,25
35240365,5,40,25,45,10
35240366,25,65,40,45,25
35240367,10,60,35,45,30
35240368,25,70,45,50,20
35240369,35,95,55,40,20
35240370,55,80,40,40,15
35240371,25,65,20,30,10
35240372,25,70,30,25,15
35240373,30,60,25,20,15
35240374,15,45,35,30,20
35240375,15,60,50,50,25
35240376,20,60,35,30,15
35240377,15,35,20,35,20
35240378,20,55,35,50,25
35240379,15,30,20,20,5
35240380,15,45,30,30,15
35240381,80,195,70,105,50
35240382,25,55,30,30,20
35240383,5,65,30,35,25
35240384,40,85,50,50,15
35240385,20,55,25,35,15
35240386,5,30,10,20,15
35240387,40,85,35,30,15
35240388,45,165,50,45,15
35240391,45,75,25,20,15
