geo_code,,"under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 and over"
35240317,female,35,70,60,45,45,25,25,30,10,15,30,0
35240317,male,25,20,25,35,25,35,20,30,20,15,40,15
35240318,female,55,70,50,40,35,25,10,15,15,15,20,10
35240318,male,45,30,25,15,25,25,20,15,10,15,40,35
35240319,female,30,30,15,15,15,10,10,15,10,5,15,5
35240319,male,25,20,15,10,10,15,10,20,10,5,30,15
35240320,female,25,25,40,40,50,30,25,20,10,15,15,0
35240320,male,5,15,25,25,20,20,25,15,10,15,15,5
35240321,female,45,45,45,25,25,25,25,10,20,20,25,10
35240321,male,40,40,20,20,15,20,15,25,15,20,35,35
35240322,female,35,35,25,15,15,20,10,5,10,10,15,5
35240322,male,25,20,15,10,20,10,15,15,5,10,35,20
35240323,female,40,25,25,20,20,15,15,10,5,10,10,5
35240323,male,25,20,20,20,15,15,15,10,10,5,30,15
35240324,female,50,50,40,35,40,30,25,15,15,5,15,5
35240324,male,35,35,25,40,45,20,25,20,20,10,20,5
35240325,female,30,40,25,25,25,20,10,10,5,0,15,0
35240325,male,20,25,25,25,10,15,15,15,15,10,20,10
35240326,female,40,40,30,30,20,10,15,10,15,5,10,0
35240326,male,20,15,20,15,20,10,15,25,5,10,25,5
35240327,female,25,30,25,20,20,20,15,10,10,10,10,0
35240327,male,15,30,10,20,15,20,20,10,10,10,20,5
35240328,female,25,50,35,15,25,15,10,5,10,5,10,5
35240328,male,20,30,20,25,15,20,20,15,10,10,10,5
35240329,female,25,50,25,30,30,25,15,15,5,10,10,5
35240329,male,40,30,20,20,30,25,25,10,10,15,20,5
35240330,female,45,50,40,35,25,20,10,10,0,5,10,0
35240330,male,30,25,15,25,25,15,30,10,5,5,10,0
35240331,female,35,50,60,50,50,30,25,20,15,10,15,5
35240331,male,35,40,35,40,45,35,25,15,20,15,30,5
35240332,female,25,45,30,25,20,20,15,10,5,0,0,0
35240332,male,25,30,30,20,20,15,15,15,10,10,15,5
35240333,female,20,30,25,15,20,25,5,5,5,5,5,0
35240333,male,15,15,15,20,15,15,10,10,10,5,15,5
35240334,female,30,35,40,20,20,15,10,10,0,0,5,0
35240334,male,20,20,15,20,15,20,15,10,10,5,20,10
35240335,female,15,20,35,25,25,15,10,0,5,0,5,0
35240335,male,10,10,15,15,25,15,10,15,10,5,15,0
35240336,female,35,40,20,25,20,15,15,10,5,5,5,0
35240336,male,15,15,20,15,20,15,5,20,10,10,15,5
35240337,female,25,35,25,20,20,20,10,5,0,5,5,0
