,geo_code,median total income of couple economic families with children in 2015 ($),average family size of couple economic families with children
0,35240317,130816,3.9
1,35240318,153472,3.9
2,35240319,162304,4.1
3,35240320,117248,3.8
4,35240321,169472,4.0
5,35240322,188928,4.2
6,35240323,156160,3.9
7,35240324,110080,4.0
8,35240325,123136,3.9
9,35240326,135680,4.0
10,35240327,140288,3.8
11,35240328,137216,4.2
12,35240329,121600,3.7
13,35240330,103424,4.0
14,35240331,97920,3.9
15,35240332,123648,4.0
16,35240333,123136,3.9
17,35240334,130304,3.7
18,35240335,107008,3.7
19,35240336,115456,4.0
20,35240337,114432,3.7
21,35240338,100096,3.9
22,35240339,115456,3.7
23,35240340,123648,3.9
24,35240341,114773,4.0
25,35240342,166144,3.9
26,35240343,163072,4.1
27,35240344,147968,4.3
28,35240345,127232,3.6
29,35240346,141568,3.8
30,35240347,115797,3.9
31,35240348,139648,3.7
32,35240349,126464,3.8
33,35240350,139776,3.7
34,35240351,116992,4.0
35,35240352,116992,3.9
36,35240353,114944,4.0
37,35240354,122368,3.9
38,35240355,126080,3.9
39,35240356,196096,4.0
40,35240357,174592,4.1
41,35240358,184832,3.9
42,35240359,195072,4.0
43,35240363,146773,3.9
44,35240364,184064,3.9
45,35240365,156672,3.7
46,35240366,175616,4.0
47,35240367,154624,4.2
48,35240368,165376,3.8
49,35240369,125440,3.8
50,35240370,145920,3.8
51,35240371,131584,3.6
52,35240372,124672,4.1
53,35240373,116224,4.2
54,35240374,161792,3.9
55,35240375,110848,4.0
56,35240376,120064,3.8
57,35240377,142336,3.8
58,35240378,125696,4.2
59,35240379,115456,3.8
60,35240380,145067,3.9
61,35240381,198144,3.9
62,35240382,220672,3.9
63,35240383,196608,4.0
64,35240384,144384,3.8
65,35240385,220160,3.9
66,35240386,272896,4.3
67,35240387,184832,3.6
68,35240388,219392,3.8
69,35240391,114944,3.9
70,35240392,141824,3.6
71,35240393,176640,3.9
72,35240394,170496,3.7
73,35240395,136192,3.9
74,35240396,168448,4.0
75,35240397,113920,3.7
76,35240398,172032,3.9
77,35240399,180736,4.1
78,35240400,148992,3.8
79,35240401,151552,3.7
80,35240402,136704,3.8
81,35240403,124160,3.9
82,35240404,217088,4.1
83,35240405,156160,3.9
84,35240406,121600,3.9
85,35240409,88661,4.1
86,35240410,100480,3.6
87,35240411,132608,4.0
88,35240412,172544,4.2
89,35240413,141824,4.1
90,35240414,119808,4.4
91,35240417,63360,3.6
92,35240420,164096,3.8
93,35240421,179712,3.7
94,35240422,74112,3.6
95,35240423,0,3.3
96,35240425,148480,3.7
97,35240427,117760,3.6
98,35240428,70912,4.0
99,35240429,57472,3.7
100,35240431,192000,3.8
101,35240432,152064,3.8
102,35240433,178688,3.9
103,35240436,126720,3.5
104,35240437,155136,3.9
105,35240438,173568,4.1
106,35240439,144128,3.8
107,35240440,125952,4.0
108,35240441,163840,3.9
109,35240442,192000,3.8
110,35240443,172544,3.6
111,35240444,157184,4.1
112,35240445,72704,3.7
113,35240446,71424,3.3
114,35240447,66560,3.6
115,35240448,150528,3.7
116,35240449,102656,3.8
117,35240450,105216,3.8
118,35240451,109312,4.0
119,35240452,97536,3.8
120,35240453,119808,3.8
121,35240455,90112,3.7
122,35240459,157184,3.7
123,35240460,150528,3.8
124,35240461,174592,4.1
125,35240462,167424,3.5
126,35240463,157184,4.2
127,35240464,99584,3.8
128,35240465,73216,3.5
129,35240466,104704,3.8
130,35240467,222720,4.1
131,35240468,289792,4.0
132,35240469,121088,4.4
133,35240470,316416,4.3
134,35240471,227840,4.3
135,35240472,214528,4.0
136,35240473,169216,3.9
137,35240474,188928,3.9
138,35240475,167424,4.0
139,35240476,190208,4.2
140,35240477,235520,3.9
141,35240478,141312,3.7
142,35240479,131584,4.0
143,35240480,104704,4.1
144,35240481,144896,4.0
145,35240482,133632,3.8
146,35240483,137216,3.7
147,35240484,131072,3.9
148,35240485,153088,3.8
149,35240486,151893,3.8
150,35240487,144896,3.8
151,35240488,116480,3.8
152,35240489,138752,3.7
153,35240490,115200,3.9
