geo_code,,between 5am and 5:59,between 6am and 6:59,between 7am and 7:59,between 8am and 8:59,between 9am and 11:59,between 12pm and 4:49 am
35240317,female,10,20,70,50,20,30
35240317,male,35,40,55,15,20,25
35240318,female,0,20,55,60,15,35
35240318,male,15,40,40,25,20,30
35240319,female,0,20,35,50,15,20
35240319,male,10,35,30,15,15,30
35240320,female,10,25,70,65,30,15
35240320,male,30,25,35,20,30,10
35240321,female,10,20,70,50,20,20
35240321,male,10,40,50,45,15,25
35240322,female,0,25,30,35,25,10
35240322,male,0,30,35,40,20,15
35240323,female,10,25,30,30,20,15
35240323,male,10,20,60,35,25,25
35240324,female,15,15,90,65,25,15
35240324,male,20,40,65,25,45,30
35240325,female,10,10,60,15,0,20
35240325,male,10,25,50,10,10,25
35240326,female,0,20,30,15,0,20
35240326,male,15,30,45,10,15,20
35240327,female,0,0,30,15,25,45
35240327,male,10,15,65,10,15,25
35240328,female,0,10,25,40,15,20
35240328,male,0,25,30,30,0,20
35240329,female,0,25,40,50,15,30
35240329,male,20,25,40,35,15,50
35240330,female,15,20,50,50,10,25
35240330,male,10,30,35,35,0,15
35240331,female,20,15,75,40,40,35
35240331,male,20,40,90,20,20,35
35240332,female,10,0,40,30,15,15
35240332,male,25,30,35,0,10,10
35240333,female,0,25,35,20,10,10
35240333,male,15,20,20,10,20,10
35240334,female,10,10,50,10,10,15
35240334,male,15,20,40,10,10,10
35240335,female,10,20,45,10,15,10
35240335,male,10,30,45,10,10,15
35240336,female,10,0,45,35,0,25
35240336,male,15,25,30,20,0,10
35240337,female,10,20,20,30,30,20
35240337,male,0,30,30,30,10,20
35240338,female,10,25,50,65,65,40
35240338,male,30,40,95,15,15,30
35240339,female,10,40,65,75,45,45
35240339,male,35,55,55,30,25,25
35240340,female,0,15,25,30,10,15
35240340,male,10,15,25,15,15,20
35240341,female,25,45,55,50,20,35
35240341,male,30,55,50,40,25,55
35240342,female,10,25,35,40,10,20
35240342,male,20,25,25,15,25,10
35240343,female,0,10,40,10,10,15
35240343,male,0,25,10,30,10,0
35240344,female,0,10,30,25,15,15
35240344,male,0,20,25,40,10,15
35240345,female,0,15,30,25,15,20
35240345,male,25,40,25,25,0,15
35240346,female,0,15,45,30,20,15
35240346,male,20,20,40,20,10,30
35240347,female,0,15,30,35,10,10
35240347,male,20,30,40,20,10,20
35240348,female,10,0,25,45,15,15
35240348,male,20,30,35,20,15,15
35240349,female,10,30,70,60,10,25
35240349,male,15,50,45,20,10,40
35240350,female,10,40,60,60,10,30
35240350,male,35,50,85,45,10,20
35240351,female,0,50,55,30,15,30
35240351,male,25,30,40,20,15,25
35240352,female,10,10,15,25,10,30
35240352,male,10,30,30,20,10,20
35240353,female,10,15,50,35,25,50
35240353,male,15,45,15,10,10,20
