,geo_code,median total income of lone-parent economic families in 2015 ($),average family size of lone-parent economic families
0,35240317,84224,2.4
1,35240318,39808,2.6
2,35240319,0,3.0
3,35240320,58048,2.3
4,35240321,96256,2.4
5,35240322,0,3.0
6,35240323,0,2.0
7,35240324,82688,2.8
8,35240325,93952,2.5
9,35240326,0,2.7
10,35240327,0,3.3
11,35240328,0,2.0
12,35240329,83968,2.6
13,35240330,36480,2.6
14,35240331,67328,2.5
15,35240332,52992,2.4
16,35240333,0,2.5
17,35240334,0,2.0
18,35240335,42240,2.8
19,35240336,86784,2.2
20,35240337,0,3.0
21,35240338,75520,2.6
22,35240339,61568,2.3
23,35240340,0,2.5
24,35240341,61952,2.7
25,35240342,70400,2.8
26,35240343,0,2.0
27,35240344,0,3.0
28,35240345,72960,2.4
29,35240346,0,3.0
30,35240347,0,2.7
31,35240348,0,2.0
32,35240349,69632,2.8
33,35240350,0,2.7
34,35240351,49792,3.0
35,35240352,0,2.0
36,35240353,38016,2.7
37,35240354,0,2.3
38,35240355,0,3.0
39,35240356,0,2.5
40,35240357,0,4.0
41,35240358,0,2.0
42,35240359,0,3.0
43,35240363,0,3.0
44,35240364,0,3.5
45,35240365,0,2.0
46,35240366,0,3.5
47,35240367,0,2.2
48,35240368,103168,2.4
49,35240369,82176,2.6
50,35240370,0,3.0
51,35240371,0,3.5
52,35240372,59136,2.6
53,35240373,71936,3.0
54,35240374,0,4.0
55,35240375,61312,2.5
56,35240376,86272,2.2
57,35240377,0,3.3
58,35240378,78080,2.6
59,35240379,0,3.0
60,35240380,0,3.0
61,35240381,87552,2.5
62,35240382,0,2.0
63,35240383,0,2.0
64,35240384,78592,2.7
65,35240385,0,2.0
66,35240386,0,2.0
67,35240387,0,2.5
68,35240388,0,2.3
69,35240391,0,2.7
70,35240392,71424,2.2
71,35240393,0,2.0
72,35240394,0,2.0
73,35240395,85248,2.8
74,35240396,0,2.3
75,35240397,65792,2.3
76,35240398,0,2.3
77,35240399,0,2.5
78,35240400,65024,2.7
79,35240401,69376,2.7
80,35240402,0,2.7
81,35240403,0,2.0
82,35240404,0,2.0
83,35240405,0,2.7
84,35240406,0,2.0
85,35240409,48768,3.1
86,35240410,0,2.7
87,35240411,74752,2.8
88,35240412,0,3.5
89,35240413,0,2.2
90,35240414,76800,2.3
91,35240417,56512,2.0
92,35240420,83456,2.4
93,35240421,0,3.0
94,35240422,54144,2.8
95,35240423,63488,2.0
96,35240425,0,2.2
97,35240427,59136,2.4
98,35240428,50432,2.3
99,35240429,41728,2.8
100,35240431,0,2.0
101,35240432,0,3.3
102,35240433,0,2.7
103,35240436,0,2.7
104,35240437,96512,2.4
105,35240438,85760,3.0
106,35240439,76800,2.6
107,35240440,55936,2.6
108,35240441,81664,2.2
109,35240442,0,2.0
110,35240443,111360,2.8
111,35240444,0,2.5
112,35240445,51712,2.4
113,35240446,53248,2.2
114,35240447,48640,2.4
115,35240448,60800,2.0
116,35240449,0,2.2
117,35240450,54528,2.5
118,35240451,56960,2.5
119,35240452,62848,2.8
120,35240453,63104,2.8
121,35240455,61888,2.0
122,35240459,0,3.0
123,35240460,0,3.0
124,35240461,0,4.0
125,35240462,0,2.3
126,35240463,70912,2.8
127,35240464,0,2.0
128,35240465,58240,2.0
129,35240466,57088,2.3
130,35240467,122112,2.5
131,35240468,0,3.3
132,35240469,52608,2.3
133,35240470,0,2.5
134,35240471,0,2.7
135,35240472,87808,2.8
136,35240473,0,2.3
137,35240474,0,2.5
138,35240475,0,2.2
139,35240476,0,2.5
140,35240477,0,2.3
141,35240478,75264,2.8
142,35240479,0,2.2
143,35240480,43136,2.8
144,35240481,71424,2.5
145,35240482,76544,2.6
146,35240483,72448,2.3
147,35240484,77312,2.3
148,35240485,0,2.7
149,35240486,89344,2.5
150,35240487,0,2.0
151,35240488,72320,2.6
152,35240489,0,3.0
153,35240490,0,3.5
154,35240491,74496,2.2
155,35240492,69632,2.4
156,35240493,55424,2.4
157,35240494,0,2.2
158,35240495,63104,2.4
159,35240496,0,3.0
160,35240497,0,2.5
161,35240498,0,3.0
162,35240499,0,2.5
163,35240501,0,2.0
164,35240503,59328,3.0
165,35240504,0,3.0
166,35240505,39808,3.1
167,35240506,0,3.3
168,35240507,0,2.2
169,35240508,78592,2.3
170,35240509,57472,2.6
171,35240512,61056,2.6
172,35240513,67584,2.7
173,35240516,0,2.7
174,35240517,0,3.5
175,35240518,0,2.2
176,35240519,0,2.5
177,35240520,73472,2.4
178,35240521,0,2.5
179,35240522,0,3.0
180,35240523,0,2.5
181,35240524,0,2.3
182,35240525,73984,2.8
183,35240526,0,2.0
184,35240528,0,2.3
185,35240529,0,3.3
186,35240530,0,2.2
187,35240531,0,3.0
188,35240532,64128,2.3
189,35240533,0,3.7
190,35240534,50560,3.2
191,35240535,75264,2.6
192,35240536,64128,2.6
193,35240537,65280,2.2
194,35240538,33600,2.7
195,35240539,67840,2.5
196,35240540,0,3.0
197,35240541,0,3.0
198,35240542,0,2.0
199,35240543,0,2.7
200,35240544,46720,2.8
201,35240545,108288,2.4
202,35240546,54400,2.5
203,35240590,64576,2.6
204,35240591,48768,2.3
205,35240592,42624,2.7
206,35240593,60480,2.7
207,35240594,58944,2.8
208,35240595,50240,2.8
209,35240596,65152,2.3
210,35240598,48384,2.5
211,35240641,0,2.0
212,35240642,0,4.0
213,35240643,0,2.5
214,35240644,0,2.3
215,35240645,0,2.7
216,35240647,0,3.0
217,35240648,72960,2.6
218,35240649,80384,3.0
219,35240650,0,3.0
220,35240651,0,2.3
221,35240654,0,3.0
222,35240655,0,2.2
223,35240656,0,3.0
224,35240659,42624,2.6
225,35240660,92160,2.6
226,35240661,0,2.8
227,35240662,72960,2.5
228,35240663,86144,3.0
229,35240664,112384,2.5
230,35240665,0,3.0
231,35240666,75520,2.8
232,35240667,0,2.8
233,35240668,80640,3.0
234,35240669,83200,2.7
235,35240670,103680,3.2
236,35240671,79872,2.6
237,35240672,96256,2.4
238,35240673,74496,3.0
239,35240674,0,2.8
240,35240675,95488,3.0
241,35240676,62848,2.3
242,35240677,0,3.0
243,35240678,81408,2.8
244,35240679,68352,2.9
245,35240680,67840,2.5
246,35240681,86016,3.2
247,35240682,76288,2.8
248,35240683,0,2.3
249,35240684,57344,2.2
250,35240685,72960,2.6
251,35240686,88320,2.6
252,35240756,0,2.7
253,35240757,0,3.3
254,35240758,90368,2.8
255,35240759,0,2.5
256,35240780,110848,3.0
257,35240782,87296,2.9
258,35240783,0,3.0
259,35240785,96000,2.8
260,35240807,52352,2.5
261,35240808,70912,2.0
262,35240809,x,2.0
263,35240898,81664,2.5
264,35240903,x,x
265,35240904,89344,2.5
266,35250030,0,2.7
267,35250031,0,3.5
268,35250032,0,2.0
269,35250033,0,3.3
270,35250034,54912,2.7
271,35250035,0,2.7
272,35250036,0,3.0
273,35250037,47680,2.8
274,35250038,49792,2.2
275,35250039,62592,2.3
276,35250040,26816,2.6
277,35250041,49792,2.0
278,35250042,x,2.5
279,35250043,0,2.2
280,35250044,0,3.5
