geo_code,,0 to 17 years (%),0 to 5 years (%),18 to 64 years (%),65 years and over (%)
35240317,female,7.1,20.0,3.6,0.0
35240317,male,0.0,0.0,2.3,0.0
35240318,female,23.8,16.7,10.3,0.0
35240318,male,30.0,0.0,2.2,0.0
35240319,female,9.1,0.0,3.2,0.0
35240319,male,9.1,0.0,3.0,0.0
35240320,female,0.0,0.0,6.5,0.0
35240320,male,14.3,0.0,5.7,0.0
35240321,female,6.7,0.0,3.8,0.0
35240321,male,5.9,0.0,4.3,0.0
35240322,female,0.0,0.0,0.0,0.0
35240322,male,0.0,0.0,0.0,0.0
35240323,female,0.0,0.0,0.0,0.0
35240323,male,0.0,0.0,0.0,0.0
35240324,female,5.0,0.0,3.6,11.1
35240324,male,5.3,0.0,5.8,14.3
35240325,female,0.0,0.0,3.4,0.0
35240325,male,0.0,33.3,3.4,0.0
35240326,female,12.5,0.0,2.9,0.0
35240326,male,8.3,0.0,0.0,0.0
35240327,female,16.7,0.0,3.2,0.0
35240327,male,0.0,0.0,3.2,0.0
35240328,female,0.0,0.0,3.7,13.3
35240328,male,0.0,0.0,3.8,7.7
35240329,female,16.7,0.0,10.3,0.0
35240329,male,21.4,33.3,5.1,11.1
35240330,female,17.6,0.0,17.1,0.0
35240330,male,35.7,66.7,9.4,0.0
35240331,female,11.8,0.0,4.9,8.3
35240331,male,10.0,0.0,6.8,12.5
35240332,female,14.3,0.0,6.7,10.0
35240332,male,25.0,0.0,8.8,0.0
35240333,female,16.7,0.0,0.0,10.0
35240333,male,0.0,0.0,9.1,0.0
35240334,female,25.0,0.0,3.8,7.7
35240334,male,0.0,0.0,10.7,0.0
35240335,female,22.2,50.0,4.0,0.0
35240335,male,30.0,25.0,4.2,0.0
35240336,female,9.1,25.0,3.4,0.0
35240336,male,16.7,25.0,7.4,0.0
35240337,female,11.1,0.0,3.7,0.0
35240337,male,11.1,25.0,7.7,0.0
35240338,female,12.5,25.0,5.7,0.0
35240338,male,10.0,20.0,5.8,16.7
35240339,female,9.1,25.0,6.7,5.3
35240339,male,7.7,0.0,3.8,4.3
35240340,female,16.7,0.0,0.0,0.0
35240340,male,14.3,0.0,4.0,0.0
35240341,female,11.8,12.5,8.9,8.3
35240341,male,12.5,20.0,9.3,10.0
35240342,female,8.3,0.0,5.4,5.9
35240342,male,0.0,0.0,8.3,0.0
35240343,female,0.0,0.0,0.0,0.0
35240343,male,14.3,0.0,5.3,0.0
35240344,female,0.0,0.0,3.7,0.0
35240344,male,10.0,0.0,7.4,0.0
35240345,female,11.1,0.0,6.1,0.0
35240345,male,12.5,0.0,3.7,0.0
35240346,female,11.1,0.0,2.8,0.0
35240346,male,0.0,0.0,0.0,0.0
35240347,female,10.0,0.0,2.9,0.0
35240347,male,0.0,0.0,0.0,0.0
35240348,female,0.0,0.0,0.0,0.0
35240348,male,9.1,0.0,2.9,0.0
35240349,female,9.1,0.0,4.9,0.0
35240349,male,8.3,0.0,2.4,0.0
35240350,female,0.0,0.0,2.0,0.0
35240350,male,8.3,0.0,2.1,0.0
35240351,female,11.1,0.0,5.0,0.0
35240351,male,5.9,0.0,2.6,0.0
35240352,female,0.0,0.0,4.5,0.0
35240352,male,11.1,0.0,10.0,0.0
35240353,female,29.4,0.0,13.3,0.0
35240353,male,47.1,20.0,8.1,0.0
35240354,female,0.0,0.0,0.0,0.0
35240354,male,14.3,0.0,0.0,0.0
35240355,female,0.0,0.0,0.0,0.0
35240355,male,0.0,0.0,3.7,0.0
35240356,female,0.0,0.0,5.0,0.0
35240356,male,0.0,0.0,2.7,0.0
35240357,female,0.0,0.0,3.6,25.0
35240357,male,0.0,0.0,0.0,0.0
35240358,female,0.0,0.0,2.1,0.0
35240358,male,0.0,0.0,1.8,0.0
35240359,female,0.0,0.0,0.0,0.0
35240359,male,0.0,0.0,0.0,0.0
35240363,female,0.0,0.0,2.6,0.0
35240363,male,6.7,0.0,0.0,0.0
35240364,female,0.0,0.0,0.0,0.0
35240364,male,9.1,0.0,3.3,0.0
35240365,female,0.0,0.0,0.0,0.0
35240365,male,0.0,0.0,0.0,0.0
35240366,female,0.0,0.0,2.6,0.0
35240366,male,0.0,0.0,0.0,0.0
35240367,female,7.1,0.0,0.0,14.3
35240367,male,0.0,33.3,2.7,0.0
35240368,female,0.0,0.0,0.0,0.0
35240368,male,0.0,0.0,2.7,0.0
35240369,female,7.1,20.0,2.4,0.0
35240369,male,11.8,0.0,4.9,0.0
35240370,female,0.0,0.0,2.8,0.0
35240370,male,0.0,0.0,5.9,0.0
35240371,female,0.0,0.0,0.0,0.0
35240371,male,0.0,0.0,4.3,0.0
