,geo_code,Secondary (high) school diploma or equivalency certificate,"College, CEGEP or other non-university certificate or diploma",University certificate or diploma below bachelor level,Bachelor's degree,"Degree in medicine, dentistry, veterinary medicine or optometry",Master's degree,Earned doctorate
1,35240317,95,95,0,70,0,10,0
3,35240318,75,75,10,55,0,15,0
5,35240319,30,30,0,75,0,15,0
7,35240320,45,45,0,45,0,15,0
9,35240321,70,70,0,75,0,15,10
11,35240322,30,30,0,60,0,10,0
13,35240323,60,60,0,45,10,10,0
15,35240324,80,80,0,45,0,0,0
17,35240325,40,40,0,40,0,10,10
19,35240326,50,50,0,25,0,10,0
21,35240327,35,35,10,35,0,15,10
23,35240328,40,40,0,25,0,10,0
25,35240329,75,75,0,40,0,0,0
27,35240330,45,45,10,20,0,15,0
29,35240331,80,80,0,50,0,15,0
31,35240332,20,20,0,10,0,0,0
33,35240333,20,20,0,15,0,0,0
35,35240334,45,45,0,10,0,0,0
37,35240335,50,50,0,20,0,0,0
39,35240336,20,20,0,25,0,15,0
41,35240337,40,40,0,10,0,15,0
43,35240338,65,65,10,35,0,0,0
45,35240339,90,90,10,55,0,25,10
47,35240340,40,40,0,35,0,0,0
49,35240341,75,75,0,45,0,15,0
51,35240342,65,65,0,80,0,15,10
53,35240343,55,55,0,35,0,0,0
55,35240344,45,45,0,50,0,10,0
57,35240345,70,70,10,15,0,0,0
59,35240346,55,55,10,35,0,15,0
61,35240347,15,15,10,50,0,0,10
63,35240348,65,65,10,20,0,0,0
65,35240349,55,55,10,50,0,0,10
67,35240350,85,85,10,45,0,0,0
69,35240351,40,40,0,35,0,10,0
71,35240352,20,20,0,15,0,0,0
73,35240353,35,35,10,30,0,0,0
75,35240354,25,25,0,30,0,10,0
77,35240355,10,10,0,20,0,15,10
79,35240356,50,50,10,60,0,25,0
81,35240357,50,50,0,45,0,25,0
83,35240358,70,70,10,85,0,25,0
85,35240359,45,45,0,60,10,20,0
87,35240363,50,50,0,40,0,15,0
89,35240364,50,50,0,55,0,0,0
91,35240365,25,25,0,50,0,0,0
93,35240366,45,45,10,105,0,10,0
95,35240367,55,55,0,40,0,20,0
97,35240368,55,55,10,30,0,10,10
99,35240369,70,70,0,40,0,15,0
101,35240370,70,70,0,45,0,0,0
103,35240371,55,55,0,15,0,15,0
105,35240372,50,50,10,15,0,10,0
107,35240373,50,50,0,10,0,0,0
109,35240374,60,60,15,30,0,10,0
111,35240375,70,70,0,35,0,0,0
113,35240376,60,60,0,0,0,0,0
115,35240377,50,50,15,20,0,10,0
117,35240378,35,35,15,35,0,10,10
119,35240379,15,15,0,10,0,0,0
121,35240380,30,30,0,15,0,10,0
123,35240381,75,75,15,190,20,70,10
125,35240382,35,35,0,45,25,15,0
127,35240383,50,50,0,50,0,15,0
129,35240384,50,50,0,80,10,15,0
131,35240385,30,30,0,70,15,15,0
133,35240386,0,0,0,45,0,0,10
135,35240387,35,35,15,75,0,20,10
137,35240388,50,50,10,95,10,15,20
139,35240391,30,30,0,10,0,10,0
141,35240392,90,90,10,35,0,0,10
143,35240393,55,55,10,50,10,20,0
145,35240394,45,45,0,55,10,25,10
147,35240395,55,55,0,30,10,10,0
149,35240396,35,35,10,55,0,10,0
151,35240397,195,195,45,200,20,80,0
153,35240398,45,45,10,70,0,30,10
155,35240399,35,35,0,75,10,10,0
157,35240400,135,135,15,110,0,40,10
159,35240401,100,100,0,45,10,15,0
161,35240402,25,25,0,40,0,10,10
163,35240403,20,20,10,30,0,10,0
165,35240404,35,35,10,85,10,30,10
167,35240405,75,75,10,55,0,20,0
169,35240406,70,70,0,0,0,0,0
171,35240409,45,45,0,25,0,0,0
173,35240410,15,15,0,10,0,0,0
175,35240411,60,60,0,35,0,15,0
177,35240412,35,35,0,40,0,0,0
179,35240413,50,50,10,55,0,10,0
181,35240414,35,35,0,40,0,0,0
183,35240417,30,30,10,25,10,15,0
185,35240420,75,75,0,30,10,15,0
187,35240421,0,0,0,45,0,20,10
189,35240422,65,65,10,35,10,15,10
191,35240423,55,55,10,35,0,0,0
193,35240425,15,15,0,45,10,20,10
195,35240427,75,75,10,100,15,45,10
197,35240428,35,35,10,35,0,0,0
199,35240429,45,45,0,25,0,0,0
201,35240431,25,25,0,25,0,35,10
203,35240432,50,50,10,35,0,10,0
205,35240433,25,25,0,65,0,30,0
207,35240436,35,35,0,10,0,10,0
209,35240437,45,45,0,50,0,15,0
211,35240438,60,60,10,30,0,10,0
213,35240439,65,65,0,25,0,10,10
215,35240440,40,40,0,35,0,10,10
217,35240441,95,95,0,70,0,20,10
219,35240442,30,30,0,30,0,20,10
221,35240443,35,35,0,60,0,20,0
223,35240444,30,30,0,40,0,15,0
225,35240445,60,60,10,35,0,10,0
227,35240446,50,50,0,25,0,0,0
229,35240447,75,75,10,30,0,30,0
231,35240448,50,50,0,75,0,10,0
233,35240449,30,30,0,30,0,0,0
235,35240450,35,35,10,40,0,10,0
237,35240451,45,45,0,35,10,20,0
239,35240452,35,35,10,20,0,0,0
241,35240453,75,75,0,10,0,20,0
243,35240455,65,65,10,10,0,0,0
245,35240459,40,40,0,45,0,10,0
247,35240460,50,50,0,20,0,15,0
249,35240461,50,50,0,35,0,15,0
251,35240462,10,10,15,45,10,15,15
253,35240463,90,90,0,70,0,15,10
255,35240464,20,20,0,30,0,0,10
257,35240465,60,60,10,45,0,10,0
259,35240466,55,55,10,50,0,10,0
261,35240467,40,40,0,65,0,10,0
263,35240468,30,30,0,55,10,30,0
265,35240469,35,35,0,20,0,15,0
