,geo_code,In Labour Force (M),Not in Labour Force (M),Employed (M),Unemployed (M)
1,35240317,200,125,195,0
3,35240318,195,65,180,15
5,35240319,145,35,145,0
7,35240320,160,25,155,0
9,35240321,220,45,220,0
11,35240322,160,50,150,15
13,35240323,215,40,200,15
15,35240324,250,50,235,20
17,35240325,155,55,140,10
19,35240326,140,60,130,10
21,35240327,160,55,155,10
23,35240328,125,75,125,10
25,35240329,195,50,185,10
27,35240330,165,65,150,15
29,35240331,265,75,240,30
31,35240332,140,65,125,15
33,35240333,105,35,105,10
35,35240334,135,55,110,20
37,35240335,120,30,115,10
39,35240336,120,40,110,15
41,35240337,165,25,150,15
43,35240338,250,65,230,25
45,35240339,265,210,250,15
47,35240340,120,45,105,10
49,35240341,265,80,255,10
51,35240342,140,155,130,10
53,35240343,85,45,90,0
55,35240344,135,40,130,0
57,35240345,140,85,140,0
59,35240346,150,70,145,10
61,35240347,135,35,135,0
63,35240348,150,45,145,10
65,35240349,195,40,190,10
67,35240350,270,65,260,15
69,35240351,165,55,165,0
71,35240352,110,10,110,0
73,35240353,145,85,140,10
75,35240354,105,0,105,0
77,35240355,110,35,100,10
79,35240356,155,60,150,10
81,35240357,170,50,155,20
83,35240358,265,60,240,20
85,35240359,185,35,175,10
87,35240363,170,45,165,10
89,35240364,145,30,145,0
91,35240365,105,30,95,10
93,35240366,185,90,175,10
95,35240367,170,85,165,10
97,35240368,140,85,145,0
99,35240369,240,40,235,10
101,35240370,185,65,165,20
103,35240371,110,65,115,0
105,35240372,125,65,125,0
107,35240373,95,55,90,0
109,35240374,165,45,165,0
111,35240375,165,70,160,10
113,35240376,155,25,150,0
115,35240377,120,30,120,0
117,35240378,150,55,145,10
119,35240379,85,35,85,0
121,35240380,120,15,125,0
123,35240381,330,185,310,15
125,35240382,130,55,120,10
127,35240383,150,50,145,10
129,35240384,175,55,165,10
131,35240385,140,55,125,15
133,35240386,65,45,55,10
135,35240387,195,70,185,10
137,35240388,200,185,195,0
139,35240391,55,70,55,0
141,35240392,195,75,175,15
143,35240393,185,55,165,20
145,35240394,140,65,125,15
147,35240395,180,45,175,10
149,35240396,110,50,95,15
151,35240397,515,555,465,55
153,35240398,130,155,135,0
155,35240399,160,65,145,15
157,35240400,395,145,380,20
159,35240401,275,65,260,20
161,35240402,140,50,140,0
163,35240403,105,25,100,10
165,35240404,200,75,195,10
167,35240405,185,105,180,0
169,35240406,110,35,100,10
171,35240409,165,35,165,0
173,35240410,80,15,80,0
175,35240411,210,80,190,20
177,35240412,115,60,110,0
179,35240413,120,50,105,15
181,35240414,120,60,110,10
183,35240417,175,65,160,15
185,35240420,180,70,180,0
187,35240421,85,40,70,15
189,35240422,135,105,120,15
191,35240423,145,35,140,0
193,35240425,125,45,115,10
195,35240427,275,180,265,15
197,35240428,150,50,140,0
199,35240429,130,50,125,10
201,35240431,125,40,125,0
203,35240432,105,50,100,10
205,35240433,180,70,170,10
207,35240436,75,25,70,0
209,35240437,125,90,115,10
211,35240438,155,90,150,0
213,35240439,185,55,180,10
215,35240440,145,70,140,10
217,35240441,240,65,225,15
219,35240442,155,30,135,20
221,35240443,190,45,185,10
223,35240444,145,30,135,15
225,35240445,225,65,210,10
227,35240446,120,145,115,0
229,35240447,190,70,185,10
231,35240448,190,50,190,0
233,35240449,105,10,95,10
235,35240450,190,75,170,20
237,35240451,170,50,170,0
239,35240452,125,20,125,0
241,35240453,170,35,165,0
243,35240455,105,155,95,10
245,35240459,110,40,105,10
247,35240460,135,60,125,10
249,35240461,115,60,110,10
251,35240462,75,70,70,10
253,35240463,185,90,170,15
255,35240464,80,25,80,0
257,35240465,190,90,180,10
259,35240466,225,70,205,15
261,35240467,135,115,120,10
263,35240468,180,55,175,0
265,35240469,125,45,120,0
267,35240470,165,70,165,0
269,35240471,130,65,130,0
271,35240472,180,85,175,10
273,35240473,130,50,115,15
275,35240474,160,100,160,0
277,35240475,225,70,215,10
279,35240476,170,70,160,10
281,35240477,170,65,165,0
283,35240478,115,30,105,0
285,35240479,60,70,55,10
287,35240480,170,135,160,10
289,35240481,125,50,115,10
291,35240482,215,80,195,20
293,35240483,155,55,145,10
295,35240484,340,85,320,20
297,35240485,95,60,85,10
299,35240486,195,65,190,0
301,35240487,70,35,65,10
303,35240488,460,75,440,25
305,35240489,130,80,120,10
307,35240490,80,35,70,15
309,35240491,190,65,180,10
311,35240492,175,45,170,10
313,35240493,105,175,100,0
315,35240494,165,50,150,20
317,35240495,155,125,150,10
319,35240496,135,60,120,20
321,35240497,160,60,145,10
323,35240498,85,50,80,0
325,35240499,65,40,65,0
327,35240501,70,15,75,0
329,35240503,170,50,155,10
331,35240504,130,55,130,0
333,35240505,140,70,125,15
335,35240506,145,65,130,15
337,35240507,145,95,120,25
339,35240508,205,70,210,0
341,35240509,135,55,135,0
343,35240512,80,55,70,10
345,35240513,125,55,120,0
347,35240516,190,80,180,20
349,35240517,170,45,165,10
