,geo_code,Income (M),Government Transfer (M)
0,35240317,57984,10528
1,35240318,47360,2424
2,35240319,66816,676
3,35240320,54400,1500
4,35240321,54272,638
5,35240322,44864,697
6,35240323,35968,984
7,35240324,41216,801
8,35240325,39936,4976
9,35240326,43776,7704
10,35240327,42880,3136
11,35240328,47168,10656
12,35240329,49024,1826
13,35240330,37120,1574
14,35240331,45440,775
15,35240332,40704,4848
16,35240333,51584,8064
17,35240334,48832,11040
18,35240335,43648,3264
19,35240336,44160,5072
20,35240337,46720,1128
21,35240338,39765,697
22,35240339,30144,13114
23,35240340,51072,5936
24,35240341,42027,1380
25,35240342,30112,11008
26,35240343,65152,8736
27,35240344,54912,834
28,35240345,45184,5568
29,35240346,57856,3496
30,35240347,47936,822
31,35240348,57472,558
32,35240349,46400,593
33,35240350,50432,1260
34,35240351,54144,558
35,35240352,44672,1452
36,35240353,53504,4416
37,35240354,46528,728
38,35240355,60032,505
39,35240356,63872,610
40,35240357,52480,557
41,35240358,64896,580
42,35240359,69888,592
43,35240363,61013,626
44,35240364,60096,674
45,35240365,48128,792
46,35240366,54400,2176
47,35240367,48256,1596
48,35240368,49344,3224
49,35240369,49408,1196
50,35240370,43968,3936
51,35240371,54464,4208
52,35240372,44672,3120
53,35240373,39168,1756
54,35240374,50816,1500
55,35240375,43136,702
56,35240376,55360,5312
57,35240377,60928,1996
58,35240378,47744,1298
59,35240379,45632,664
60,35240380,53376,1492
61,35240381,50560,2296
62,35240382,66304,5472
63,35240383,46016,964
64,35240384,38272,3544
65,35240385,67328,5264
66,35240386,71936,1524
67,35240387,48768,8928
68,35240388,52992,9568
69,35240391,34688,10464
70,35240392,41600,3384
71,35240393,62848,8533
72,35240394,47616,7856
73,35240395,44032,5968
74,35240396,46208,6064
75,35240397,28267,14184
76,35240398,26496,13075
77,35240399,67328,3728
78,35240400,52173,3160
79,35240401,58496,4112
80,35240402,34752,3640
81,35240403,38656,3624
82,35240404,41600,5072
83,35240405,51968,10432
84,35240406,46464,5488
85,35240409,37376,948
86,35240410,41856,5392
87,35240411,36352,4784
88,35240412,48768,3560
89,35240413,52608,5472
90,35240414,52864,6800
91,35240417,43520,1354
92,35240420,60672,1580
93,35240421,46080,1692
94,35240422,41856,9024
95,35240423,37376,10464
96,35240425,62848,690
97,35240427,49024,11785
98,35240428,32608,4624
99,35240429,27232,7608
100,35240431,63616,2824
101,35240432,50048,10768
102,35240433,54656,1092
103,35240436,32576,1580
104,35240437,48512,10592
105,35240438,40832,638
106,35240439,41280,4304
107,35240440,36480,2232
108,35240441,49536,1150
109,35240442,62592,1252
110,35240443,58112,1180
111,35240444,42624,822
112,35240445,33152,1964
113,35240446,31808,13056
114,35240447,36224,1468
115,35240448,41088,1444
116,35240449,45504,754
117,35240450,34496,1400
118,35240451,46976,882
119,35240452,38016,1220
120,35240453,48896,1632
121,35240455,31808,14752
122,35240459,55552,2092
123,35240460,40192,7472
124,35240461,48896,2552
125,35240462,32576,14176
126,35240463,49024,1428
127,35240464,42944,2628
128,35240465,29760,8288
129,35240466,38144,6688
130,35240467,47488,7184
131,35240468,68864,632
132,35240469,45696,3128
133,35240470,79360,1588
134,35240471,54016,572
135,35240472,68096,1732
136,35240473,55872,1412
137,35240474,55680,6352
138,35240475,52992,2080
139,35240476,72576,818
140,35240477,91392,644
141,35240478,40320,1052
142,35240479,30784,12064
143,35240480,36992,1844
144,35240481,50048,2880
145,35240482,39040,2824
146,35240483,45312,7504
147,35240484,55264,644
148,35240485,33920,2904
149,35240486,46528,1844
150,35240487,48000,4240
151,35240488,56704,654
152,35240489,38912,6088
153,35240490,47616,1108
