,geo_code,married,common_law,not_married_or_common_law,never_married,separated,divorced,widowed
0,35240317,385,40,300,160,20,50,60
1,35240318,380,30,265,195,20,30,20
2,35240319,250,10,125,100,10,0,10
3,35240320,130,85,295,150,25,85,40
4,35240321,350,35,265,195,10,35,15
5,35240322,270,10,130,110,0,5,10
6,35240323,270,5,135,110,10,10,10
7,35240324,285,70,295,195,25,55,20
8,35240325,255,25,130,80,15,15,20
9,35240326,245,40,135,85,10,15,25
10,35240327,220,35,150,105,10,10,20
11,35240328,230,40,155,85,5,25,35
12,35240329,235,50,220,140,15,35,25
13,35240330,215,45,200,140,15,25,20
14,35240331,295,90,340,225,50,35,35
15,35240332,190,40,195,115,20,35,25
16,35240333,165,20,120,65,10,15,25
17,35240334,195,45,145,90,5,20,30
18,35240335,165,30,120,65,5,20,20
19,35240336,205,25,150,85,20,25,20
20,35240337,190,30,120,80,10,20,15
21,35240338,210,90,320,205,35,60,20
22,35240339,575,90,525,205,40,105,175
23,35240340,200,30,115,85,5,10,15
24,35240341,305,65,290,180,30,60,25
25,35240342,390,25,260,140,10,35,75
26,35240343,190,20,75,55,5,5,5
27,35240344,240,5,130,100,10,10,5
28,35240345,220,20,190,110,15,35,30
29,35240346,285,20,125,90,5,15,15
30,35240347,220,30,135,95,10,15,15
31,35240348,220,35,130,110,5,10,5
32,35240349,280,30,180,140,15,20,10
33,35240350,380,45,195,150,10,15,15
34,35240351,255,35,185,140,15,20,10
35,35240352,145,15,95,60,5,15,10
36,35240353,225,35,235,160,25,35,20
37,35240354,140,20,115,85,5,15,5
38,35240355,195,15,110,80,5,20,10
39,35240356,275,15,170,145,10,0,10
40,35240357,220,5,120,110,5,5,5
41,35240358,395,15,195,165,5,15,10
42,35240359,270,10,160,140,5,5,10
43,35240363,310,35,135,100,5,15,10
44,35240364,245,25,120,105,5,5,5
45,35240365,225,10,85,70,0,5,0
46,35240366,335,5,195,145,10,15,20
47,35240367,300,25,170,135,10,15,15
48,35240368,295,35,170,115,20,20,25
49,35240369,300,40,195,125,20,30,25
50,35240370,260,40,180,110,10,25,35
51,35240371,195,30,95,60,5,15,15
52,35240372,190,50,145,85,15,25,20
53,35240373,145,30,160,100,10,25,25
54,35240374,240,15,115,95,5,10,10
55,35240375,255,55,165,115,15,25,15
56,35240376,205,30,110,70,15,15,10
57,35240377,160,25,115,80,10,10,10
58,35240378,265,30,180,130,10,25,15
59,35240379,115,15,85,65,5,15,5
60,35240380,205,20,100,70,5,15,10
61,35240381,705,70,365,250,20,40,50
62,35240382,235,10,120,80,5,15,15
63,35240383,280,20,115,100,5,5,15
64,35240384,290,20,190,125,15,30,20
65,35240385,250,20,90,70,0,5,15
66,35240386,145,5,55,45,5,0,5
67,35240387,275,30,135,80,5,25,25
68,35240388,490,40,200,150,10,15,25
69,35240391,215,15,155,80,5,30,40
70,35240392,245,60,270,145,25,65,35
71,35240393,320,15,130,75,15,15,30
72,35240394,230,30,130,85,5,15,30
73,35240395,270,40,185,115,20,20,30
74,35240396,195,35,160,70,5,25,55
75,35240397,1320,190,925,335,85,155,350
76,35240398,320,40,245,90,10,55,85
77,35240399,345,35,255,125,0,20,100
78,35240400,650,75,445,275,40,75,50
79,35240401,355,95,250,145,30,45,30
80,35240402,225,30,185,105,10,15,55
81,35240403,210,20,230,85,10,20,110
82,35240404,360,40,160,110,10,15,25
83,35240405,400,40,235,140,15,40,35
84,35240406,155,25,115,80,10,15,15
85,35240409,165,80,185,135,20,25,10
86,35240410,110,30,100,65,10,15,10
87,35240411,260,35,190,120,15,35,25
88,35240412,215,20,125,90,5,15,15
89,35240413,240,15,130,80,0,30,10
