geo_code,,"Car, truck, van - as a driver","Car, truck, van - as a passenger",Public transit,Walked,Bicyle,Other
35240317,female,180,10,0,0,0,0
35240317,male,145,0,25,0,10,0
35240318,female,155,15,25,0,0,0
35240318,male,145,15,10,10,10,0
35240319,female,125,0,15,0,0,0
35240319,male,110,0,10,15,0,0
35240320,female,210,10,10,0,0,0
35240320,male,140,10,10,0,0,0
35240321,female,155,20,0,15,0,0
35240321,male,160,10,25,0,0,0
35240322,female,105,20,0,0,0,0
35240322,male,110,10,15,10,0,0
35240323,female,95,20,0,10,0,0
35240323,male,145,10,15,10,0,0
35240324,female,170,15,20,0,0,10
35240324,male,175,15,25,10,0,0
35240325,female,90,10,0,0,0,10
35240325,male,100,15,10,0,0,0
35240326,female,90,10,0,0,0,0
35240326,male,110,10,10,10,0,10
35240327,female,100,10,0,0,10,0
35240327,male,125,0,0,0,0,10
35240328,female,85,10,0,0,0,0
35240328,male,90,15,10,0,0,0
35240329,female,130,0,15,10,0,0
35240329,male,140,10,15,10,0,0
35240330,female,130,10,20,0,0,0
35240330,male,115,0,0,10,0,0
35240331,female,175,20,30,0,0,0
35240331,male,180,10,15,15,0,0
35240332,female,75,10,10,10,0,0
35240332,male,110,10,15,0,0,0
35240333,female,90,10,0,0,0,0
35240333,male,85,0,10,0,0,0
35240334,female,75,10,10,0,10,0
35240334,male,95,0,10,0,0,0
35240335,female,90,10,10,0,0,0
35240335,male,100,10,0,10,0,0
35240336,female,80,10,15,0,10,0
35240336,male,90,0,0,10,0,0
35240337,female,95,10,20,0,0,0
35240337,male,110,15,0,0,0,0
35240338,female,205,10,10,10,0,0
35240338,male,175,30,15,10,0,0
35240339,female,185,20,45,20,0,0
35240339,male,195,20,10,10,0,0
35240340,female,70,0,15,10,0,0
35240340,male,95,0,10,0,0,0
35240341,female,180,20,25,10,0,0
35240341,male,200,20,25,0,0,0
35240342,female,95,15,20,0,0,0
35240342,male,105,0,0,0,0,0
35240343,female,60,15,10,0,0,0
35240343,male,60,0,10,0,0,0
35240344,female,80,0,10,0,0,0
35240344,male,85,10,10,10,0,0
35240345,female,85,0,10,0,0,0
35240345,male,105,10,10,0,0,10
35240346,female,115,0,0,10,0,0
35240346,male,110,15,15,0,0,0
35240347,female,80,15,0,0,0,0
35240347,male,120,0,15,0,0,0
35240348,female,90,10,15,0,0,0
35240348,male,115,0,10,0,0,0
35240349,female,160,15,10,10,0,0
35240349,male,145,0,15,0,10,0
35240350,female,180,10,10,15,0,0
35240350,male,200,10,20,0,0,0
35240351,female,140,25,10,10,0,0
35240351,male,120,20,10,0,0,0
35240352,female,70,10,10,10,0,0
35240352,male,95,10,10,0,0,0
35240353,female,140,10,30,10,0,0
35240353,male,100,10,0,0,0,0
35240354,female,95,10,0,0,0,0
35240354,male,75,0,0,10,0,10
35240355,female,90,20,0,0,0,0
35240355,male,80,15,0,0,0,0
35240356,female,105,10,35,0,0,0
35240356,male,120,10,15,0,0,0
35240357,female,80,15,0,0,0,10
35240357,male,115,15,10,10,0,0
35240358,female,140,15,15,0,0,0
35240358,male,200,10,20,0,10,0
35240359,female,105,30,15,0,0,0
35240359,male,115,10,15,0,0,0
35240363,female,125,0,0,0,0,0
35240363,male,130,15,0,0,0,0
35240364,female,110,15,15,0,0,0
