,geo_code,1 to 4 rooms,5 rooms,6 rooms,7 rooms,8 or more rooms
0,35240317,130,70,55,30,105
1,35240318,15,45,20,55,140
2,35240319,0,0,10,0,115
3,35240320,250,50,10,0,30
4,35240321,15,30,35,20,150
5,35240322,0,0,15,25,105
6,35240323,0,10,10,10,145
7,35240324,25,40,70,80,75
8,35240325,0,25,20,35,110
9,35240326,0,10,15,60,85
10,35240327,0,15,25,45,95
11,35240328,65,15,15,20,100
12,35240329,10,15,40,60,100
13,35240330,45,25,30,80,50
14,35240331,70,50,75,95,90
15,35240332,30,40,50,40,40
16,35240333,20,10,35,25,70
17,35240334,0,25,30,45,80
18,35240335,20,15,40,30,50
19,35240336,0,35,35,20,70
20,35240337,10,10,20,30,90
21,35240338,65,60,85,65,40
22,35240339,295,125,70,95,95
23,35240340,10,15,35,30,65
24,35240341,15,25,70,65,135
25,35240342,45,45,100,30,105
26,35240343,0,0,10,25,100
27,35240344,0,10,10,0,125
28,35240345,0,20,65,65,50
29,35240346,0,0,30,15,135
30,35240347,0,0,15,65,65
31,35240348,0,15,45,35,60
32,35240349,10,0,30,25,135
33,35240350,10,20,20,65,150
34,35240351,10,35,35,30,105
35,35240352,0,10,40,25,40
36,35240353,35,40,55,35,60
37,35240354,10,25,15,25,35
38,35240355,15,10,30,10,60
39,35240356,0,10,0,15,130
40,35240357,0,0,0,20,110
41,35240358,0,10,20,20,175
42,35240359,10,0,10,15,115
43,35240363,0,20,35,25,105
44,35240364,10,0,10,15,110
45,35240365,0,0,10,20,85
46,35240366,10,0,10,20,165
47,35240367,0,10,10,55,125
48,35240368,0,0,20,45,135
49,35240369,0,15,45,85,105
50,35240370,30,45,10,30,110
51,35240371,0,25,10,35,90
52,35240372,15,25,35,50,55
53,35240373,10,25,30,35,55
54,35240374,0,0,20,35,95
55,35240375,10,0,50,60,90
56,35240376,0,0,55,35,65
57,35240377,0,0,0,35,85
58,35240378,15,10,50,30,75
59,35240379,0,10,15,30,40
60,35240380,0,0,15,15,90
61,35240381,15,50,50,55,345
62,35240382,0,10,10,45,90
63,35240383,0,0,0,15,140
64,35240384,15,20,30,60,100
65,35240385,0,0,0,10,140
66,35240386,0,0,0,0,75
67,35240387,0,0,40,30,140
68,35240388,0,55,45,55,180
69,35240391,30,70,30,20,35
70,35240392,115,35,55,40,80
71,35240393,10,10,25,40,160
72,35240394,10,10,10,25,125
