geo_code,,English_only,French_only,Neither English nor French
35240317,female,360,10,5
35240317,male,305,0,70
35240318,female,360,5,5
35240318,male,310,5,65
35240319,female,180,5,0
35240319,male,195,0,40
35240320,female,275,0,0
35240320,male,215,0,20
35240321,female,325,15,0
35240321,male,325,10,30
35240322,female,195,5,5
35240322,male,200,5,40
35240323,female,180,0,0
35240323,male,195,5,35
35240324,female,365,5,0
35240324,male,335,5,40
35240325,female,220,5,0
35240325,male,225,5,25
35240326,female,210,5,0
35240326,male,190,5,40
35240327,female,190,5,0
35240327,male,195,5,30
35240328,female,215,5,5
35240328,male,210,0,35
35240329,female,245,10,5
35240329,male,250,10,35
35240330,female,250,5,0
35240330,male,195,5,50
35240331,female,375,5,0
35240331,male,350,10,75
35240332,female,200,5,0
35240332,male,210,5,35
35240333,female,150,5,0
35240333,male,140,5,25
35240334,female,180,5,5
35240334,male,180,5,20
35240335,female,180,5,0
35240335,male,175,5,15
35240336,female,200,10,0
35240336,male,210,5,20
35240337,female,185,5,0
35240337,male,170,5,25
35240338,female,315,5,0
35240338,male,335,5,40
35240339,female,590,20,0
35240339,male,450,15,90
35240340,female,160,0,0
35240340,male,165,5,35
35240341,female,335,15,0
35240341,male,325,10,55
35240342,female,320,10,0
35240342,male,275,10,60
35240343,female,140,0,0
35240343,male,150,0,15
35240344,female,225,0,0
35240344,male,195,5,25
35240345,female,230,10,5
35240345,male,190,0,25
35240346,female,215,5,0
35240346,male,220,5,35
35240347,female,215,0,5
35240347,male,205,0,25
35240348,female,180,10,0
35240348,male,220,5,20
35240349,female,215,10,5
35240349,male,230,5,50
35240350,female,300,10,10
35240350,male,300,5,55
35240351,female,235,5,5
35240351,male,230,5,65
35240352,female,130,5,0
35240352,male,135,5,20
35240353,female,290,10,5
35240353,male,245,5,40
35240354,female,125,5,0
35240354,male,140,0,20
35240355,female,150,0,5
35240355,male,170,5,40
35240356,female,235,5,5
35240356,male,225,5,35
35240357,female,155,0,0
35240357,male,175,5,30
35240358,female,275,10,0
35240358,male,310,5,45
35240359,female,190,5,5
35240359,male,205,5,45
35240363,female,235,0,5
35240363,male,245,0,55
35240364,female,195,5,0
35240364,male,200,5,35
35240365,female,155,5,0
35240365,male,155,5,40
35240366,female,255,5,5
35240366,male,250,5,40
35240367,female,250,5,5
35240367,male,245,5,35
35240368,female,270,5,0
35240368,male,265,0,25
35240369,female,275,5,0
35240369,male,280,5,40
35240370,female,240,10,5
35240370,male,210,10,40
35240371,female,175,0,0
35240371,male,180,0,10
35240372,female,210,0,5
35240372,male,190,5,20
35240373,female,175,5,0
35240373,male,170,5,20
35240374,female,175,5,0
35240374,male,180,5,30
35240375,female,255,5,0
35240375,male,275,5,30
35240376,female,210,0,0
35240376,male,180,5,30
35240377,female,165,5,0
35240377,male,155,0,20
35240378,female,240,10,0
35240378,male,230,0,35
35240379,female,105,5,0
35240379,male,110,0,10
35240380,female,180,5,0
35240380,male,150,5,20
35240381,female,590,10,0
35240381,male,545,5,95
35240382,female,180,0,0
35240382,male,165,0,35
35240383,female,205,5,0
35240383,male,205,0,40
35240384,female,255,5,0
35240384,male,250,0,45
35240385,female,160,0,5
35240385,male,190,5,30
35240386,female,85,10,0
35240386,male,100,5,30
35240387,female,225,5,0
35240387,male,220,0,20
35240388,female,310,5,0
35240388,male,335,5,55
35240391,female,155,5,5
35240391,male,135,0,55
