,geo_code,1 child,2 children,3 or more children
0,35240317,30,15,5
1,35240318,25,25,10
2,35240319,5,5,0
3,35240320,25,5,0
4,35240321,15,10,0
5,35240322,0,5,0
6,35240323,5,5,0
7,35240324,25,20,5
8,35240325,15,5,0
9,35240326,10,5,5
10,35240327,15,5,0
11,35240328,10,5,0
12,35240329,20,15,5
13,35240330,35,15,5
14,35240331,35,15,5
15,35240332,20,5,0
16,35240333,10,10,0
17,35240334,15,5,0
18,35240335,10,5,5
19,35240336,15,10,0
20,35240337,5,5,0
21,35240338,40,15,10
22,35240339,45,10,0
23,35240340,15,0,0
24,35240341,40,20,5
25,35240342,20,5,5
26,35240343,5,0,0
27,35240344,10,5,0
28,35240345,25,10,0
29,35240346,10,5,0
30,35240347,5,5,5
31,35240348,15,5,0
32,35240349,15,5,0
33,35240350,10,5,0
34,35240351,10,20,5
35,35240352,10,0,5
36,35240353,30,25,10
37,35240354,10,5,0
38,35240355,5,10,5
39,35240356,0,5,0
40,35240357,5,0,0
41,35240358,5,5,5
42,35240359,5,0,0
43,35240363,10,5,0
44,35240364,5,5,0
45,35240365,5,0,0
46,35240366,5,10,0
47,35240367,10,10,5
48,35240368,15,10,0
49,35240369,15,15,5
50,35240370,15,5,0
51,35240371,10,0,5
52,35240372,15,5,5
53,35240373,15,10,0
54,35240374,5,5,0
55,35240375,10,15,5
56,35240376,20,5,0
57,35240377,15,5,5
58,35240378,20,5,5
59,35240379,10,5,0
60,35240380,5,5,0
61,35240381,25,5,5
62,35240382,5,5,0
63,35240383,5,5,0
64,35240384,15,10,10
65,35240385,5,0,0
66,35240386,5,0,0
67,35240387,5,5,0
68,35240388,10,0,5
69,35240391,10,10,0
70,35240392,30,5,0
71,35240393,10,0,0
72,35240394,10,5,0
73,35240395,10,10,5
74,35240396,5,5,0
75,35240397,75,15,0
76,35240398,10,0,0
77,35240399,10,0,0
78,35240400,35,35,10
79,35240401,20,15,0
80,35240402,5,5,5
81,35240403,10,0,0
82,35240404,10,5,0
83,35240405,10,5,5
84,35240406,15,5,0
85,35240409,30,20,10
86,35240410,10,5,0
87,35240411,15,10,5
88,35240412,5,5,5
89,35240413,10,5,5
90,35240414,20,10,0
91,35240417,25,5,0
92,35240420,15,5,5
93,35240421,10,5,0
94,35240422,15,5,0
95,35240423,20,5,0
96,35240425,10,5,0
97,35240427,25,5,0
98,35240428,20,5,0
99,35240429,25,20,0
100,35240431,5,0,0
101,35240432,15,5,5
102,35240433,10,5,0
103,35240436,10,0,0
104,35240437,20,5,0
105,35240438,15,5,0
106,35240439,20,5,5
107,35240440,20,10,0
108,35240441,30,10,5
109,35240442,5,5,0
110,35240443,15,5,0
111,35240444,15,5,5
112,35240445,35,5,5
113,35240446,30,10,0
114,35240447,40,10,5
115,35240448,15,10,0
116,35240449,10,5,0
117,35240450,30,10,0
118,35240451,20,15,0
119,35240452,15,10,0
120,35240453,10,15,0
121,35240455,20,5,5
122,35240459,5,5,5
123,35240460,10,5,0
124,35240461,5,5,5
125,35240462,15,0,5
126,35240463,15,10,0
127,35240464,10,0,0
128,35240465,35,5,5
129,35240466,40,5,5
130,35240467,10,10,0
131,35240468,5,10,0
132,35240469,25,5,0
133,35240470,0,5,0
134,35240471,5,5,5
135,35240472,15,5,0
136,35240473,5,5,0
137,35240474,10,5,0
138,35240475,15,5,0
139,35240476,10,10,5
140,35240477,5,10,0
141,35240478,10,5,0
142,35240479,10,5,5
143,35240480,45,40,10
144,35240481,15,5,0
145,35240482,30,25,5
146,35240483,15,10,5
147,35240484,35,15,5
148,35240485,10,10,0
149,35240486,10,10,0
150,35240487,5,5,5
151,35240488,40,35,5
152,35240489,10,5,0
153,35240490,10,0,5
154,35240491,15,10,0
155,35240492,30,5,5
156,35240493,20,5,0
157,35240494,15,10,0
158,35240495,25,10,5
159,35240496,5,5,5
160,35240497,5,10,5
161,35240498,10,0,0
162,35240499,10,5,5
163,35240501,5,5,0
164,35240503,20,5,0
165,35240504,10,10,0
166,35240505,15,15,20
167,35240506,10,10,5
168,35240507,10,5,0
169,35240508,15,5,5
170,35240509,25,20,5
171,35240512,15,10,0
172,35240513,25,5,5
173,35240516,10,5,0
174,35240517,10,5,0
175,35240518,10,10,0
176,35240519,10,5,0
177,35240520,25,10,5
178,35240521,10,10,0
179,35240522,0,0,0
180,35240523,5,0,5
181,35240524,5,5,5
182,35240525,10,10,5
183,35240526,5,5,0
184,35240528,10,5,5
185,35240529,5,5,5
186,35240530,10,10,0
187,35240531,5,10,0
188,35240532,30,15,0
189,35240533,5,5,5
190,35240534,15,10,5
191,35240535,20,10,0
192,35240536,30,10,5
193,35240537,30,5,0
194,35240538,55,35,20
195,35240539,30,20,5
196,35240540,10,5,0
197,35240541,5,5,0
198,35240542,10,5,0
199,35240543,10,5,0
200,35240544,25,20,5
201,35240545,25,5,5
202,35240546,35,20,10
203,35240590,30,15,5
204,35240591,55,20,5
205,35240592,100,50,15
206,35240593,35,20,5
