geo_code,,less than 15 minutes,15 to 29 minutes,30 to 44 minutes,45 to 59 minutes,60 minutes and over
35240317,female,55,55,35,35,15
35240317,male,30,40,45,20,45
35240318,female,60,80,25,15,15
35240318,male,55,45,30,30,15
35240319,female,40,65,0,0,20
35240319,male,40,40,20,10,30
35240320,female,50,70,55,25,25
35240320,male,20,45,50,15,15
35240321,female,65,75,35,25,0
35240321,male,45,45,50,25,35
35240322,female,30,65,25,0,0
35240322,male,25,55,15,15,25
35240323,female,50,25,20,10,20
35240323,male,65,55,30,10,20
35240324,female,60,95,40,10,25
35240324,male,40,55,60,20,55
35240325,female,30,50,10,10,0
35240325,male,25,50,30,0,15
35240326,female,40,30,20,0,0
35240326,male,40,30,20,30,25
35240327,female,50,25,20,0,10
35240327,male,30,50,20,10,25
35240328,female,35,20,30,10,10
35240328,male,35,30,35,10,15
35240329,female,65,30,40,0,10
35240329,male,60,60,25,10,25
35240330,female,40,45,35,20,20
35240330,male,35,30,20,30,15
35240331,female,75,80,35,10,20
35240331,male,40,85,50,25,25
35240332,female,15,50,25,10,10
35240332,male,25,35,20,20,30
35240333,female,15,45,20,10,15
35240333,male,25,25,20,10,20
35240334,female,25,35,15,10,15
35240334,male,20,35,15,20,20
35240335,female,35,45,15,0,10
35240335,male,10,45,45,10,10
35240336,female,45,25,30,0,10
35240336,male,35,15,30,10,15
35240337,female,45,40,20,10,20
35240337,male,20,40,30,15,25
35240338,female,105,85,20,25,10
35240338,male,55,50,55,30,30
35240339,female,65,100,45,20,45
35240339,male,55,65,50,20,40
35240340,female,35,30,15,10,0
35240340,male,10,35,25,15,20
35240341,female,70,65,35,30,35
35240341,male,15,65,65,40,60
35240342,female,35,55,25,10,10
35240342,male,20,40,30,15,15
35240343,female,10,55,10,0,10
35240343,male,25,15,20,10,0
35240344,female,45,30,0,0,25
35240344,male,20,30,30,10,15
35240345,female,45,35,15,10,0
35240345,male,20,50,25,25,15
35240346,female,40,65,15,10,10
35240346,male,15,40,50,10,25
35240347,female,20,40,10,10,15
35240347,male,30,45,30,10,25
35240348,female,25,25,35,10,15
35240348,male,30,40,20,15,30
35240349,female,80,55,35,20,20
35240349,male,35,70,35,20,25
35240350,female,65,70,25,30,20
35240350,male,45,75,35,40,45
35240351,female,55,50,35,15,15
35240351,male,45,55,25,20,15
35240352,female,30,20,15,30,0
35240352,male,15,40,25,15,10
35240353,female,65,50,25,10,30
35240353,male,25,50,35,10,10
35240354,female,20,35,30,15,10
35240354,male,25,10,30,10,15
35240355,female,35,40,25,10,0
35240355,male,20,30,20,15,10
35240356,female,25,50,40,15,25
35240356,male,20,40,25,15,40
35240357,female,15,50,10,0,20
35240357,male,35,60,10,30,25
35240358,female,30,70,35,0,25
35240358,male,70,55,40,30,40
35240359,female,60,55,25,0,20
35240359,male,50,40,20,10,20
35240363,female,30,60,10,10,20
35240363,male,40,35,45,10,20
35240364,female,35,55,20,10,15
35240364,male,15,45,20,0,40
35240365,female,25,10,10,10,0
35240365,male,40,15,15,10,10
35240366,female,35,60,30,10,25
35240366,male,20,55,30,20,30
35240367,female,45,40,25,15,20
35240367,male,25,45,50,25,15
35240368,female,45,50,20,20,10
35240368,male,25,35,40,10,20
35240369,female,70,55,25,40,40
35240369,male,55,75,30,35,30
35240370,female,35,65,10,10,35
35240370,male,50,40,35,30,10
35240371,female,25,40,0,0,0
35240371,male,30,40,15,10,10
35240372,female,40,35,10,0,0
35240372,male,30,30,15,20,0
35240373,female,20,40,15,0,10
35240373,male,30,20,20,10,10
35240374,female,40,30,25,10,15
35240374,male,45,20,30,25,20
35240375,female,25,60,35,10,25
35240375,male,35,60,30,0,20
35240376,female,35,70,25,25,0
35240376,male,25,45,45,15,10
35240377,female,30,40,10,10,0
35240377,male,25,55,15,0,15
35240378,female,20,55,30,10,0
35240378,male,20,45,30,20,15
35240379,female,30,25,0,15,10
35240379,male,25,20,30,0,10
35240380,female,30,15,10,20,20
35240380,male,10,45,30,10,10
35240381,female,90,135,30,25,30
35240381,male,60,85,60,35,45
35240382,female,50,25,15,10,10
35240382,male,30,20,20,20,15
35240383,female,25,35,30,0,20
35240383,male,20,50,10,10,30
35240384,female,40,30,30,15,10
35240384,male,40,35,25,15,30
35240385,female,15,25,15,15,10
35240385,male,30,20,30,15,20
35240386,female,15,15,0,10,15
35240386,male,20,10,10,10,20
35240387,female,30,55,10,0,0
35240387,male,50,20,55,15,20
35240388,female,25,90,25,10,10
35240388,male,25,60,35,30,20
35240391,female,20,20,10,0,20
35240391,male,15,10,10,10,10
35240392,female,50,30,45,10,15
35240392,male,55,40,35,25,20
35240393,female,35,50,30,10,20
35240393,male,35,30,20,25,35
35240394,female,30,50,0,0,15
35240394,male,40,30,0,0,20
35240395,female,35,20,25,30,10
35240395,male,25,50,30,25,30
35240396,female,15,35,10,10,10
35240396,male,30,25,15,0,15
35240397,female,125,225,95,60,50
35240397,male,70,155,70,50,80
35240398,female,20,40,20,15,10
35240398,male,35,35,15,20,10
35240399,female,25,35,10,10,10
35240399,male,40,45,25,10,20
35240400,female,60,205,35,25,25
35240400,male,50,155,50,40,45
35240401,female,40,105,10,20,35
35240401,male,40,105,40,25,25
35240402,female,40,35,15,10,0
35240402,male,30,45,30,15,10
35240403,female,10,25,10,0,10
35240403,male,20,25,0,15,10
35240404,female,35,55,25,0,0
35240404,male,40,60,50,0,20
35240405,female,40,45,15,10,10
35240405,male,30,65,25,20,20
35240406,female,50,35,0,10,10
35240406,male,25,30,10,10,30
35240409,female,25,70,25,10,10
35240409,male,40,60,40,0,15
35240410,female,35,25,15,0,10
35240410,male,20,30,0,0,15
35240411,female,40,50,15,10,15
35240411,male,35,40,55,15,35
35240412,female,35,25,15,0,0
35240412,male,20,40,15,0,20
35240413,female,40,45,15,0,20
35240413,male,20,25,10,10,35
35240414,female,20,35,20,0,10
35240414,male,25,35,20,15,15
35240417,female,25,55,25,15,20
35240417,male,15,60,40,10,30
35240420,female,40,45,10,0,10
35240420,male,60,40,20,10,25
35240421,female,25,40,10,0,15
35240421,male,15,20,10,0,10
35240422,female,25,20,25,30,25
35240422,male,50,30,0,0,20
35240423,female,35,75,10,10,10
35240423,male,45,35,15,20,25
35240425,female,50,30,10,15,20
35240425,male,20,40,15,20,10
35240427,female,95,55,35,0,25
35240427,male,65,90,35,10,35
35240428,female,15,55,35,10,20
35240428,male,30,30,25,25,20
35240429,female,40,40,15,20,15
35240429,male,25,70,30,0,0
35240431,female,35,30,10,0,10
35240431,male,25,30,25,0,10
35240432,female,35,25,0,0,10
35240432,male,35,20,0,10,15
35240433,female,55,20,0,0,10
35240433,male,50,30,20,10,35
35240436,female,35,30,15,0,0
35240436,male,20,35,0,0,0
35240437,female,40,25,10,10,15
35240437,male,10,45,20,15,10
35240438,female,25,55,30,10,20
35240438,male,35,45,20,10,20
35240439,female,30,50,25,10,10
35240439,male,15,95,15,10,30
35240440,female,45,45,20,20,10
35240440,male,20,60,30,20,15
35240441,female,65,30,35,10,20
35240441,male,45,55,20,20,55
35240442,female,40,20,20,0,15
35240442,male,35,40,15,0,25
35240443,female,60,45,25,0,25
35240443,male,35,45,15,20,25
35240444,female,45,35,10,0,20
35240444,male,25,40,30,10,15
35240445,female,65,30,15,10,30
35240445,male,25,70,35,20,35
35240446,female,45,15,30,10,10
35240446,male,10,50,25,10,20
35240447,female,80,65,55,10,15
35240447,male,35,70,25,10,25
35240448,female,55,40,15,0,20
35240448,male,60,60,20,15,30
35240449,female,25,25,10,15,10
35240449,male,30,30,20,10,20
35240450,female,35,50,20,15,20
35240450,male,50,40,40,10,30
35240451,female,70,50,30,10,30
35240451,male,45,50,25,10,30
35240452,female,45,40,20,0,0
35240452,male,35,45,20,0,10
35240453,female,65,25,15,0,10
35240453,male,40,50,25,20,20
35240455,female,50,30,15,10,0
35240455,male,25,40,25,10,0
35240459,female,20,15,15,0,10
35240459,male,10,35,15,0,20
35240460,female,35,20,25,0,10
35240460,male,25,25,25,10,25
35240461,female,50,50,10,0,10
35240461,male,20,40,25,10,20
35240462,female,25,25,15,10,0
35240462,male,20,30,20,0,0
35240463,female,60,35,35,0,15
35240463,male,50,45,20,20,35
35240464,female,15,35,20,10,10
35240464,male,15,30,10,0,25
35240465,female,65,100,40,10,15
35240465,male,45,60,20,20,20
35240466,female,70,70,30,10,25
35240466,male,50,70,20,15,25
35240467,female,20,45,15,10,15
35240467,male,30,35,10,15,10
35240468,female,25,60,10,10,25
35240468,male,20,60,25,20,30
35240469,female,45,75,30,10,0
35240469,male,15,35,25,15,35
35240470,female,40,40,25,0,10
35240470,male,20,65,20,10,20
35240471,female,25,10,20,10,20
35240471,male,30,20,25,25,20
35240472,female,70,50,25,20,10
35240472,male,35,15,20,30,35
35240473,female,30,45,10,10,10
35240473,male,10,20,15,25,10
35240474,female,40,45,35,0,10
35240474,male,45,30,15,20,20
35240475,female,60,45,30,10,15
35240475,male,65,75,15,0,40
35240476,female,30,30,15,15,25
35240476,male,30,25,30,20,40
35240477,female,60,35,15,25,0
35240477,male,20,40,25,0,40
35240478,female,30,30,20,15,0
35240478,male,25,25,15,20,10
35240479,female,15,15,10,20,10
35240479,male,30,10,0,0,15
35240480,female,85,50,20,0,25
35240480,male,50,40,20,30,15
35240481,female,40,25,0,10,15
35240481,male,35,25,20,10,20
35240482,female,55,45,30,35,30
35240482,male,60,30,40,25,25
35240483,female,40,45,25,15,20
35240483,male,30,50,25,15,25
35240484,female,80,95,55,30,35
35240484,male,75,105,30,15,65
35240485,female,30,25,15,10,15
35240485,male,15,35,10,0,15
35240486,female,50,60,0,0,25
35240486,male,35,45,30,20,25
35240487,female,20,25,10,0,0
35240487,male,10,30,0,0,10
35240488,female,140,95,65,40,65
35240488,male,140,100,80,65,50
35240489,female,20,60,15,0,10
35240489,male,50,15,10,25,15
35240490,female,15,25,10,10,0
35240490,male,30,10,10,15,10
35240491,female,50,40,20,0,20
35240491,male,35,40,35,15,30
35240492,female,60,45,25,20,15
35240492,male,15,85,35,10,20
35240493,female,50,40,10,0,10
35240493,male,30,20,20,15,15
35240494,female,35,45,25,10,10
35240494,male,35,40,35,15,20
35240495,female,20,45,20,25,10
35240495,male,20,65,35,10,20
35240496,female,10,40,10,10,0
35240496,male,20,35,0,15,35
35240497,female,40,45,15,15,20
35240497,male,45,45,10,10,20
35240498,female,20,30,10,0,15
35240498,male,0,50,10,10,10
35240499,female,35,25,10,10,10
35240499,male,15,10,20,0,20
35240501,female,25,20,10,10,0
35240501,male,0,10,30,10,15
35240503,female,30,50,20,0,10
35240503,male,30,55,25,0,30
35240504,female,30,30,25,20,10
35240504,male,15,30,20,20,25
35240505,female,30,50,35,15,15
35240505,male,15,45,20,15,20
35240506,female,25,30,20,10,10
35240506,male,35,15,35,10,25
35240507,female,40,35,25,10,20
35240507,male,15,50,20,15,25
35240508,female,40,60,25,15,10
35240508,male,25,75,45,0,45
35240509,female,35,85,10,20,10
35240509,male,30,50,15,10,20
35240512,female,25,30,10,10,10
35240512,male,10,25,10,10,10
35240513,female,35,50,20,10,0
35240513,male,20,35,25,20,15
35240516,female,40,45,10,10,25
35240516,male,40,35,30,35,20
35240517,female,35,40,15,20,0
35240517,male,25,55,25,25,25
35240518,female,50,60,30,10,25
35240518,male,25,70,40,15,35
35240519,female,25,35,15,0,10
35240519,male,0,30,35,25,0
35240520,female,60,85,25,10,10
35240520,male,35,50,35,25,25
35240521,female,50,35,25,10,10
35240521,male,45,30,30,20,20
35240522,female,15,30,10,10,0
35240522,male,20,20,20,10,20
35240523,female,15,40,10,10,10
35240523,male,10,50,20,0,10
35240524,female,15,30,20,25,20
35240524,male,0,10,35,20,10
35240525,female,45,30,25,15,40
35240525,male,25,35,30,20,15
35240526,female,10,25,10,0,15
35240526,male,25,15,0,10,25
35240528,female,40,45,0,10,10
35240528,male,25,50,30,10,30
35240529,female,45,45,25,10,10
35240529,male,15,40,25,20,15
35240530,female,50,30,30,15,10
35240530,male,60,40,30,15,10
35240531,female,65,40,20,10,10
35240531,male,20,30,25,20,20
35240532,female,105,125,65,35,30
35240532,male,90,70,50,65,50
35240533,female,60,30,10,0,0
35240533,male,50,40,20,0,25
35240534,female,35,35,20,0,25
35240534,male,35,65,35,10,10
35240535,female,10,50,10,10,20
35240535,male,40,70,10,10,25
35240536,female,55,55,30,15,25
35240536,male,45,50,45,20,50
35240537,female,75,80,40,10,10
35240537,male,10,85,30,20,20
35240538,female,120,105,50,20,35
35240538,male,65,90,50,25,55
35240539,female,60,75,35,25,50
35240539,male,45,85,50,30,45
35240540,female,40,45,15,0,15
35240540,male,30,45,15,10,10
35240541,female,50,25,10,0,15
35240541,male,35,10,10,20,40
35240542,female,45,50,25,0,15
35240542,male,20,15,25,15,25
35240543,female,60,40,15,15,10
35240543,male,65,45,30,10,20
35240544,female,35,45,10,15,15
35240544,male,15,40,10,10,0
35240545,female,75,75,40,10,35
35240545,male,60,60,30,30,50
35240546,female,45,80,20,10,30
35240546,male,30,80,45,20,25
35240590,female,85,105,35,15,40
35240590,male,45,115,35,15,15
35240591,female,70,115,35,20,30
35240591,male,55,125,40,15,40
35240592,female,90,165,85,30,60
35240592,male,125,195,105,70,75
35240593,female,70,100,55,15,50
35240593,male,70,105,75,40,60
35240594,female,80,75,30,15,10
35240594,male,90,60,55,20,30
35240595,female,90,70,45,15,20
35240595,male,75,30,65,15,10
35240596,female,55,80,25,20,10
35240596,male,50,75,20,25,30
35240598,female,105,190,110,10,75
35240598,male,80,150,95,50,75
35240641,female,10,40,20,15,20
35240641,male,15,20,20,30,30
35240642,female,25,40,20,10,20
35240642,male,30,35,25,15,10
35240643,female,30,60,20,15,0
35240643,male,35,40,45,25,35
35240644,female,10,45,15,0,10
35240644,male,0,50,20,10,20
35240645,female,0,35,10,0,10
35240645,male,15,65,10,0,0
35240647,female,0,70,40,15,15
35240647,male,10,50,55,10,25
35240648,female,60,90,40,15,40
35240648,male,25,60,55,0,30
35240649,female,80,80,30,10,10
35240649,male,55,50,45,10,30
35240650,female,55,55,40,20,10
35240650,male,60,55,50,25,10
35240651,female,40,50,15,0,10
35240651,male,25,30,35,10,35
35240654,female,50,50,25,0,15
35240654,male,55,55,20,10,15
35240655,female,55,55,60,10,30
35240655,male,40,55,70,25,40
35240656,female,40,15,0,10,10
35240656,male,30,30,10,0,20
35240659,female,80,80,50,10,20
35240659,male,40,55,30,20,50
35240660,female,50,45,25,15,15
35240660,male,35,30,30,10,15
35240661,female,15,55,20,10,20
35240661,male,40,60,30,10,25
35240662,female,115,140,85,30,60
35240662,male,100,100,85,40,80
35240663,female,45,50,30,30,15
35240663,male,25,35,30,15,35
35240664,female,20,40,25,10,10
35240664,male,35,25,45,10,10
35240665,female,35,40,10,10,20
35240665,male,30,15,20,10,25
35240666,female,65,95,35,25,35
35240666,male,55,50,55,25,25
35240667,female,40,35,55,35,25
35240667,male,20,35,35,30,35
35240668,female,45,40,30,0,30
35240668,male,20,15,50,15,55
35240669,female,60,100,40,30,40
35240669,male,70,50,80,45,60
35240670,female,35,40,45,10,35
35240670,male,40,55,40,15,20
35240671,female,50,50,25,15,10
35240671,male,20,75,30,20,15
35240672,female,65,90,45,20,25
35240672,male,30,50,60,50,45
35240673,female,30,35,10,10,20
35240673,male,30,20,30,10,15
35240674,female,20,75,35,10,25
35240674,male,50,70,55,10,25
35240675,female,95,80,60,20,35
35240675,male,65,90,35,30,80
